clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
double nature xv france s incarne cette capacité unique plus haut niveau rugby international enchaîner géniales fulgurances absences débutants,"[4.2080187030533129435e-224, 3.6078733212095513485e-231, 3.016229340158413029e-203, 1.6955804386719074774e-163, 3.4419497162021494057e-192, 9.4611390839667666187e-116, 9.726473446361328133e-264, 1.0807772279536871365e-165, 2.4134567488551536165e-237, 4.9258088075285931332e-254, 1.5899664397640314168e-202, 1.1334669007786057289e-227, 3.0240790662287821626e-205, 1.919175277315994368e-193, 6.046781867309097565e-250, 6.8111242079388442165e-261, 1.9946092146872307354e-172, 6.599826849079334244e-207, 9.343957293720089372e-206]",4.9795468862982984e-117,19
comme sparadrap capitaine haddock double nature finit toujours revenir sous forme flashes recoller peau bleus,"[3.9236405257254231517e-230, 6.470523730196944654e-181, 1.3116446274439039218e-214, 5.0360288006609700783e-189, 3.930953570332934786e-176, 7.441574561492719199e-220, 2.854485927011046929e-131, 8.7977533499413125116e-217, 4.1774431150988026495e-218, 1.4088401815889375088e-202, 2.312201701012589611e-148, 1.7409397926343202651e-184, 8.094692596518873957e-176, 6.8658659436534395663e-256, 2.3900271564174807886e-161]",1.9029906180073647e-132,15
springboks l ont emporté,"[3.8928308711116689167e-159, 5.4417075858707663856e-189, 3.1148329683840434476e-171, 3.9713362573164248191e-174]",9.73207717778697e-160,4
dents coup pouce xv france destin,"[2.9803637694233515523e-197, 5.5343559143199668394e-195, 8.1822501855640885723e-187, 3.8678410422547929588e-177, 9.845625703805221499e-139, 3.0889463228368543626e-147]",1.6409376224491142e-139,6
sudafricains marquent essai transformé final fait vainqueurs,"[1.2029263402058950638e-191, 1.7598953527773667341e-266, 1.5181455581519640787e-245, 3.1778534843687117644e-214, 1.936613603788782711e-207, 4.7819543093457015895e-207, 4.192187047376003765e-245]",1.7184662002941368e-192,7
partaient posture pourtant peu confortable d une mêlée fermée leurs suivie d une touche,"[4.7590693218316425365e-198, 3.5050450307229235988e-252, 2.5496723276293869994e-206, 4.5524861114094892316e-195, 8.968089982092937355e-225, 7.282541440783935273e-229, 2.3196422137623747298e-181, 3.5837575736807670944e-169, 1.09017744350880966115e-170, 7.272525686098323264e-195, 6.4365067320908287048e-99, 3.5563958782099787135e-146, 2.6084802345540948818e-138, 1.4572911752039222339e-188]",4.597504808636306e-100,14
transforme sudafricains alors douze coups minuit s apprêtent retentir,"[3.526350028861202654e-228, 9.579727099115631988e-175, 2.856433282321767279e-250, 4.4732214548686237793e-83, 5.6565321694928103747e-215, 3.2082745275780528741e-158, 9.7417008898131204005e-180, 1.0738186024249079789e-206, 9.943504069039551023e-130]",4.970246060965138e-84,9
coach boks peut aller fleurir tombes frères grimm charles perrault,"[1.1097734777965729296e-168, 1.7379643472851477611e-212, 1.87399250485738351e-153, 2.5404440527957908968e-84, 3.088905032322474868e-168, 3.311682726671949255e-184, 2.0350722108732361456e-147, 1.1515950528767624397e-145, 3.3145305717588432907e-83, 6.8383341532437655016e-258]",3.568574977038422e-84,10
springboks menés score presque tout match,"[6.308300036750801914e-120, 3.43504785142948357e-197, 1.1590054571430237017e-264, 1.1672151124393640153e-115, 4.2223957257317679748e-225, 9.458936400375947908e-155]",1.9454636590662192e-116,6
bien secoués placage comme combat sol équipe france mode pitbull,"[2.1979909322003981474e-157, 1.13410400381622004646e-116, 1.0879767972791718272e-127, 8.13439784801405568e-150, 4.8339832755307513142e-213, 1.2600593884020428435e-123, 4.6682802313858724584e-147, 4.6780634150560322504e-195, 8.659693396357763245e-91, 4.3040451697834215474e-183]",8.659693396357763e-92,10
carrément frôlé ko quand vieux renard médard l arrière français a décidé flanquer bazar façon poulailler sudafricain,"[7.8737273293638095987e-144, 8.087500027954195127e-96, 3.1663999282775211176e-141, 2.8711751432737094431e-115, 4.811184124504986118e-207, 9.631582780187241158e-141, 7.240803904912578691e-45, 4.3312401789859984224e-198, 5.314504291878905075e-141, 1.4311918442623992229e-91, 1.3867876819473509211e-158, 1.3102279180326151724e-115, 1.7901272835213361741e-160, 2.8430707649375932905e-118, 1.35085097364979613e-116, 7.94648083791567384e-179, 1.4347078969774189118e-117]",4.259296414654458e-46,17
aussi lorsque gazelle teddy thomas enfin allé folle farandole,"[1.4035480200248024107e-52, 2.0836252519825911572e-108, 1.0, 4.9231631219997730685e-119, 2.1917019668973990088e-84, 9.2659948943883687163e-135, 2.9338074607254938945e-171, 5.2229927430489810628e-155, 2.926732396468749062e-142]",0.1111111111111111,9
