clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
attentat a fait moins morts plusieurs dizaines blessés vendredi personnes décédées pendant nuit lhôpital porte bilan morts janvier pakistan selon nouveau bilan fourni samedi police,"[2.8724983386589439305e-99, 1.3493506992562765884e-85, 5.0246810626595096768e-105, 1.4976576948585290222e-69, 1.6235988939510993688e-79, 1.1014478862340148288e-106, 5.5864423223267016484e-104, 1.5469132945403888501e-129, 0.9999999999549984651, 1.2296530560384337387e-70, 9.791119237608086529e-127, 4.5001534871373579513e-11, 5.1959538229742713393e-89, 1.0656777315382413934e-99, 1.1670283801832261907e-67, 7.7562843708161457004e-88, 4.0736647303952913073e-79, 3.5185450739798476239e-127, 6.734646183133760582e-124, 8.8843866846057184125e-89, 2.0863258890705430781e-100, 4.0481917424042936202e-101, 5.78316103596796514e-100, 6.5099022924243195958e-99, 1.0894257718703549742e-82]",0.04,25
kamikaze a fait exploser bombe milieu dun terrain volleyball,"[6.701070255647440418e-107, 8.600447033523271701e-128, 4.4717992265133972605e-139, 2.3768673087821583668e-137, 4.026322199694449139e-94, 3.5695917473250070638e-91, 5.4110147877054010568e-126, 5.10793894725815687e-137, 2.1605809962616571096e-148]",3.9706867439163355e-92,9
a déclaré chef police locale précise kamikaze a précipité voiture chargée dexplosifs terrain autour duquel villageois rassemblés regarder match,"[7.468645858731823143e-133, 8.3997460204372731903e-144, 2.6441433578232131807e-137, 1.36733170343293916895e-135, 4.2056778908939407028e-137, 6.9219699712264217495e-120, 1.1678907541622389878e-124, 1.07720557712609537715e-126, 4.2597758365574765524e-140, 1.58539007287668625225e-108, 2.7550760126484034644e-131, 2.5141076471733963509e-138, 7.1583908812044148044e-130, 2.6775619093176084313e-109, 4.497761445385536024e-100, 3.3339601857650150647e-122, 1.3468342695609137936e-88, 3.117413103762325121e-131, 5.5253127016931486454e-116]",7.088601418765324e-90,19
lexplosion a provoqué leffondrement dune maison située proximité doù extraites plusieurs victimes femmes enfants,"[1.7887602114055628801e-97, 1.7030060553508799362e-94, 9.590657105752407342e-75, 7.618281579059193741e-127, 4.5487581837093869854e-102, 9.4142577778513963753e-107, 3.6552388191376847525e-115, 1.5760165816531527048e-119, 2.127802674967072471e-128, 9.786272057527455888e-52, 7.489713934978427465e-86, 2.4867806004191164377e-130, 2.0011079404937986102e-83, 2.3229364138200127283e-72]",6.990194326805326e-53,14
lattentat a lieu shah hasan khan village district bannu voisin zones tribales frontalières lafghanistan où larmée pakistanaise combat actuellement talibans alliés alqaida,"[4.012006281360561281e-137, 9.706804828428665395e-128, 2.0465736560347362276e-135, 7.30061096954570552e-57, 4.465767040802942821e-104, 7.187686111281063782e-140, 2.4838319384348696246e-65, 4.334241870717744674e-112, 1.7304614843214532533e-67, 4.1088033327586645475e-58, 3.5115182996087908736e-120, 2.87141438164650071e-118, 4.2506074422469314993e-149, 3.8553598337346631633e-129, 9.873843193295296221e-143, 3.0491466452647521037e-141, 5.2604967502407979514e-98, 5.492748364229611051e-97, 1.5564266016659248383e-139, 7.3277488767034640013e-122, 3.4967677223536895802e-127, 5.461776308598856716e-130]",3.5052233308331534e-58,22
cette fin dannée pays victime dun regain violence,"[4.430078923946536836e-145, 3.4968627854306861185e-138, 1.6412418124797224734e-133, 8.86028454248950519e-128, 1.4595648102655013439e-104, 1.1992713596918421664e-112, 2.4473294048131010756e-122, 1.4201053759064662851e-136]",1.8244560278227687e-105,8
lundi karachi revendiqué talibans fait morts,"[7.3352794140637045033e-140, 2.5924535991482840828e-127, 2.268558242307392941e-134, 5.313386275236319706e-122, 1.0225077095317909178e-116, 3.1956982629547906102e-145]",1.7041883715733177e-117,6
réunion dun comité local antitalibans tenait mosquée située juste côté terrain volleyball lors lattentat a indiqué mushtaq membre comité paix chaîne télévision locale geo,"[1.9833007078522331456e-86, 1.2601247372075857688e-121, 3.854236747883459253e-129, 1.860270618765646033e-126, 3.3410216724934632286e-112, 5.0833472034088588076e-125, 2.7582308296612586933e-118, 5.4247284332353404816e-118, 7.474040465629250514e-138, 2.9174817694529387096e-144, 2.3391125394519699014e-118, 3.865605116284530935e-133, 4.3886295873501531522e-127, 3.8780615465955378663e-114, 8.8937970950562355416e-126, 7.3352169082888961336e-91, 7.989197935563977187e-109, 1.53294273815790234415e-130, 3.6512777897645288807e-139, 9.242267607789396789e-141, 2.7958652851689917937e-126, 3.8308323720886746134e-133, 1.5306587614525889577e-144, 2.0977089389682330203e-138]",8.26405858342215e-88,24
soudain a énorme explosion,"[5.1258609962362979313e-134, 1.9369575475758383652e-128, 8.621562578468080093e-110, 1.6036374365193363178e-126]",2.15539064461702e-110,4
sortis vu morts blessés partout atil raconté estimant bilan devrait,"[1.4302838152476239954e-99, 1.5162753931280411535e-85, 7.22616976207409381e-132, 1.0075034812260049868e-135, 4.2658066211148501754e-138, 8.1453373352110263186e-114, 2.1585618647109887928e-139, 2.2165207891003018622e-126, 5.0721456101481731667e-93, 4.140551753205694194e-112]",1.5162754438495116e-86,10
combattre menace terroriste jusquà élimination totale premier ministre youssouf raza gilani a condamné lattentat affirmant communiqué tels actes terroristes peuvent affaiblir résolution gouvernement combattre menace terroriste jusquà élimination totale,"[1.2883886476268398344e-115, 5.123093652488058423e-89, 3.2753324036130992277e-99, 6.035487078666589944e-126, 6.913969147588077857e-139, 5.4401564981812243283e-122, 4.724958198206881901e-108, 3.3027739462766352148e-137, 1.6984769740972085591e-113, 2.407123882894258902e-140, 1.1213362914173095428e-121, 8.30525132600220017e-74, 8.12817014701033255e-49, 6.7376827865584648714e-96, 3.4229540980511156343e-122, 5.6198925863738573683e-122, 6.791814819363325385e-116, 3.1547583669966756704e-104, 3.5653494317744155656e-102, 1.07253366584540294544e-116, 4.3167891775160647945e-49, 3.0594044734299401854e-91, 6.6423096729988301714e-106, 3.0823444594087644766e-66, 4.2093582630034733358e-34, 4.1238911580127297115e-104, 3.3537365573178448373e-94, 5.7811333101585905403e-129, 8.0335080138361286667e-81]",1.4515028493115468e-35,29
nordouest pakistan cible privilégiée vague dattentats islamistes secoue pakistan a fait plus deux mille huit cents morts depuis près deux ans demi,"[3.7647489114746508535e-101, 3.4078782076237430236e-148, 6.1095506103757910154e-71, 9.680163237837063539e-116, 6.112163142243770684e-67, 5.4063513066416125133e-21, 9.0145300405651734544e-111, 1.04550046566708426013e-131, 6.3117995867751002e-130, 5.678540373428266191e-93, 3.4537889821102612364e-109, 2.1758147124735622149e-141, 6.748206065323052932e-120, 1.1136913026530948409e-122, 1.6509926180181669374e-121, 2.5411285443364684616e-103, 4.4741978508761670266e-106, 6.8929348706829343816e-126, 2.974090699365751485e-136, 1.8217022459166072781e-131, 4.1543831916829450142e-137, 7.208142060339328266e-139]",2.457432412109824e-22,22
cette sanglante série sest accélérée depuis octobre lorsque larmée a lancé offensive terrestre contre talibans waziristan sud fief mouvement talibans pakistanais ttp allié alqaida,"[2.413945581565775194e-133, 9.574647843176563624e-128, 7.0989740911000387547e-132, 1.7034336261337769376e-140, 1.2681600544132815871e-134, 3.3610669681481768414e-130, 1.2021424210419837366e-133, 9.167580656144837246e-143, 4.104504507992107665e-135, 2.885848674471040877e-118, 5.8526705430823370686e-126, 4.609150423354994942e-118, 6.475581126603535634e-125, 4.0752047184181846734e-129, 5.8699013086011791694e-126, 2.3884461175615905783e-135, 3.513932382703368634e-121, 4.578611925377000686e-119, 2.0811971961663408893e-134, 2.6660219319381506868e-98, 2.8968726737092820202e-140, 9.0176236707319694705e-134, 3.9190314564481168685e-138, 2.0198931778136074275e-135]",1.110842471640896e-99,24
ttp alliés dénoncent lalignement pakistan guerre contre terrorisme menée etatsunis région considérés comme principaux auteurs attentats perpétrés depuis deux ans demi,"[6.05980901193230443e-131, 4.3807856882771656366e-141, 2.6521782545749912593e-137, 1.9316584649749953683e-131, 1.6591499673205819107e-134, 2.566039853200846266e-124, 1.7710776859821376423e-121, 1.681105860350900667e-137, 5.65321062927262384e-134, 8.134494582958662125e-129, 1.4198915067538815153e-132, 3.3027859978615089351e-149, 2.694856193326377497e-122, 3.0832030642451894476e-128, 1.8488580194924717309e-129, 2.6233389656935185108e-121, 1.8899676995290842867e-117, 6.015031155587691804e-117, 2.2566102900486701802e-138, 9.08422817519775859e-127, 4.4945217828038698304e-133]",3.7645073823319915e-118,21
ttp a également revendiqué attentat contre procession chiite a fait morts lundi dernier karachi sud pakistan semble démontrer capacité nuisance sétend bien delà nordouest,"[3.3299029989364046122e-138, 6.6977545407445275044e-134, 2.6641068652444809317e-120, 3.2851066227331898383e-130, 5.3132374419928307947e-107, 2.8002019024017363162e-121, 4.3131127271339991097e-121, 1.7441783465617239585e-128, 5.02745855271064897e-136, 2.7325481185665685816e-132, 2.4310093035732300112e-133, 1.4406522414820971616e-131, 2.0110183650203608956e-136, 6.8847225981606981385e-136, 3.4748299894690685913e-129, 5.3802692526592922997e-125, 3.0933775162637888095e-100, 2.9733886818993358708e-126, 3.795594045544096949e-139, 9.827806097168542265e-142, 5.90262201843050307e-143, 1.5085403729665349687e-144, 2.9017933143931293062e-142, 2.0937385756598170402e-138]",1.2889075198281387e-101,24
