clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
attaque panique constitue trouble sévère où symptômes mentaux physiques semblent nourrir mutuellement palpitations cardiaques gêne respiratoire transpiration vertige combiner sensation perte contrôle soi limpression dêtre train mourir,"[6.5682057578413548046e-116, 4.313052827740955691e-133, 3.7373367430797997723e-85, 1.8140919438223972311e-129, 2.8917017411805544384e-90, 8.84464510083552401e-119, 1.6252462522035026007e-126, 8.045902350229467414e-110, 1.4294228344476995495e-122, 8.5780237440144425565e-89, 3.2442717703290603518e-110, 2.6162858210472860556e-99, 5.8913818581448042755e-122, 2.7810778023041785369e-115, 3.29027271599198627e-122, 1.4922369261082530734e-131, 4.2755092055227991852e-125, 7.7462893125413184487e-115, 6.3609366253359351213e-130, 1.4080386664659081646e-110, 1.6292286075246332251e-129, 2.8138517425543184031e-124, 5.5538046261542752934e-119, 3.6983863350597116156e-103, 9.161847864899877078e-126, 3.1398297207643856953e-76, 1.2138532085670117275e-107]",1.1628998979639293e-77,27
si origines biologique psychologique crises parfois difficiles démêler a démontré quelles peuvent être induites tant chez lhomme chez lanimal lactate sodium inhalations co,"[4.2013448626388074538e-100, 2.4833131163899321414e-114, 4.2891461115318107066e-113, 2.330822319648623555e-90, 1.0412603262850361906e-94, 1.9602985379739134014e-123, 3.7695524719688982489e-103, 1.1324164103634180779e-110, 1.2892228182899384065e-103, 6.880960580183508556e-97, 8.021708587060550344e-111, 1.2515781313862821059e-68, 3.00624420938306152e-109, 2.3563482009014852916e-103, 9.874031294265413055e-92, 1.1389520850279445066e-100, 6.1631227979213522865e-101, 3.1265176251043874418e-129, 8.818389034543236343e-109, 1.8206767167374692609e-141, 5.6451801295500473976e-129, 2.8105383517449941408e-132, 5.1995777821809497202e-135]",5.4416440495055746e-70,23
médicaments permettent juguler sans inconvénients risque dépendance,"[1.0708580534645193622e-121, 6.1156773338010696917e-100, 2.1249492206203531238e-98, 7.034507948645817782e-111, 1.2881241972732895207e-101, 1.2086437897519272468e-71, 1.07036820298447959835e-67]",1.5292700962335068e-68,7
nouvelle étude illustre rôle dune hormone trouble anxieux pouvant ouvrir pistes thérapeutiques,"[7.323861402921320747e-87, 6.8184761532384726667e-97, 1.6017099995930593436e-124, 6.7658594275913834908e-133, 3.337228735866908029e-122, 9.087376929033211639e-99, 1.9395582160535542097e-94, 1.1256449764644684931e-130, 2.239767116607521361e-111, 1.5574963203026688443e-115, 1.0359902748031959661e-90, 1.06737492500349726415e-111]",6.1040813232024e-88,12
équipe a effet constaté certaines molécules inhibitrices aussi nommée hypocrétine pouvaient réduire comportements panique observés chez rats sélectionnés présenter troubles dangoisse,"[2.0084963464211275576e-109, 1.0186094202144002804e-103, 2.189609998943665057e-109, 1.1364238340319781626e-101, 2.5151414423732002398e-122, 2.0178534922317556601e-126, 4.0113176839374128353e-145, 7.14474232464566902e-129, 7.5002514743671211647e-131, 5.700367103353865459e-125, 6.207683377537970534e-125, 1.175352727471887637e-63, 1.1048099047278979292e-119, 1.2516356950562054255e-106, 3.005207381226237048e-104, 9.41338691307249831e-122, 1.091467825333743027e-115, 2.6142525247128576162e-121, 3.1529804935876031361e-77, 6.700649928623613804e-104, 6.85273633297380307e-114]",5.596917749866282e-65,21
philip johnson université collègues aussi montré lactivation neurones synthétisent nécessaire lapparition panique chez rats,"[1.029416091661983236e-132, 1.1801580315161880636e-131, 1.0706166837420370509e-100, 4.3014751872799520483e-123, 8.094996479999238673e-126, 3.2211023952914299126e-96, 6.1362738903023549225e-90, 1.2421312707624171868e-70, 2.7192340242645979198e-112, 7.435727108478815779e-53, 3.601529045229626646e-119, 1.7693948204345181396e-112, 6.24458585859865596e-102, 3.6448066912917641262e-118]",5.31123364891344e-54,14
enfin constaté patients sujets panique présentaient concentrations fluide cérébrospinal plus élevées groupe contrôle,"[2.1917134281602890553e-105, 1.009541848690784986e-131, 7.497523276337645909e-125, 9.703169898202028558e-122, 1.7691651086124601438e-105, 6.5224989889653902855e-109, 8.0673034891029504325e-106, 1.9306651757960714774e-44, 3.353584131209096702e-95, 6.396501468150767618e-92, 1.540260344983972629e-85, 8.770459298004181908e-117, 6.729512871526154828e-107]",1.4851270583046704e-45,13
a beaucoup étudiée rôle léveil troubles certains chiens narcoleptiques présentent mutations récepteurs orexine tandis chez lhomme cest molécule stimulant récepteurs fait défaut,"[1.2305672209115227406e-122, 2.1940442466482217966e-117, 2.2837651037115789676e-142, 4.9571212543990460903e-118, 1.4440680371605327375e-109, 5.631803076068423034e-113, 1.5700098692876567861e-108, 9.152150995064220939e-122, 3.9948177275643505115e-101, 2.1685581580926342598e-101, 1.384545023787413902e-87, 8.571928403879097176e-109, 6.4605051142746405003e-101, 1.9039212229738065616e-111, 1.7991907621956075139e-96, 1.3541271005900980447e-133, 5.262940793917572169e-134, 6.3690149282685019174e-135, 1.3400304640199636092e-103, 7.505070866411522771e-118, 1.0, 2.5598760301701922971e-59]",0.045454545454545456,22
récemment équipe dirigée lin unité inserm université lyon a montré souris manipulées exprimer entraient directement sommeil paradoxal catalepsie,"[6.5272422984559537045e-86, 1.3133395629729455722e-80, 1.7070312583771429127e-101, 1.3398741801919582633e-111, 7.6878579089930647635e-94, 2.6822099394755537446e-119, 3.9217861316570925487e-124, 6.720724419769661202e-97, 1.2719814052313262781e-84, 1.175977979244876693e-129, 8.474728336486030049e-62, 3.6995169672015875326e-112, 2.7269099790816328987e-81, 7.3608428086671462547e-131, 1.05201293799036065686e-119, 1.3847140498166570548e-72, 1.0428125391123924043e-114, 1.063076715477376721e-98]",4.708182409235834e-63,18
concernant panique corrélation nest causalité rappelle,"[1.1328414547309801448e-123, 2.0961561146816992118e-94, 5.3236975493402955687e-117, 3.1862572774096517823e-116, 6.890321592768441461e-122, 1.4233976022413621682e-107]",3.493593524469736e-95,6
lin demande si antagonistes utilisés confrères simplement somnolence chez animaux,"[1.0960942539182839767e-138, 1.6803661749518296638e-112, 4.9344530340343983327e-123, 2.0484506762585148189e-88, 1.4507274839083533735e-102, 5.4661584361871486556e-64, 4.8834767271797637466e-101, 7.1289394272213550476e-93, 2.4758274208234410356e-144, 1.34772806721612108514e-132]",5.466158436187148e-65,10
contraire rats ainsi traités montrent plus sociales comportements dexploration accrus va lencontre lhypothèse sédation écrivent philip johnson collègues,"[1.09687071474424046934e-122, 3.0339996272434524253e-86, 2.3177371085164505345e-117, 2.0414333004208100493e-98, 1.9123569114901134545e-132, 4.7609494604237714045e-74, 3.0945619109379436013e-129, 2.449659266419290218e-99, 6.46090007003012945e-125, 2.2743521141665880662e-115, 3.7181191830088026177e-93, 1.0476108262145228502e-36, 2.435616677398677091e-59, 2.496734069663421052e-71, 8.7375115632884974545e-108, 1.7081912283313911713e-124, 1.0623584518402084529e-106, 9.663937659019710853e-103]",5.820060145636239e-38,18
antoine pelissolo hôpital juge étude préliminaire sérieuse domaine où pistes thérapeutiques assez limitées,"[1.666943135092373375e-79, 1.2976426732155423618e-138, 1.8441086274317944102e-79, 6.433472158790625843e-125, 6.1434023277542251533e-74, 1.0669380370128181311e-111, 4.1901191645620642484e-101, 2.334053996272632104e-78, 3.326170530176320649e-84, 9.5017352466981429e-110, 2.764620107320382398e-50, 7.3225152559554834125e-114, 3.236966141872621143e-95]",2.1266308517849095e-51,13
johnson al nature medecine décembre hervé morin,"[7.162342673769590977e-94, 4.752211137865432366e-73, 7.564536182874005491e-134, 5.5698368838007975486e-111, 1.0339642752586932768e-129, 1.6685145464173990573e-99, 2.243197761462334228e-126]",6.788873054093475e-74,7
