comment_sentences,word_mover_distance,useful_wmd
réagir fait scientifique avéré trait lâge léternité peut conduire quà poésie réaction débile deux  merci lecteurs monde haute spiritualité ,1.9222805068452782,1
haut très haut buisson 13 000 ans contemplent  ,2.3900194513579502,0
sait si regardons chênes si regardent ,2.6289911652686637,0
appelle territoire  nouveau monde ça ,2.281070806651577,1
laisse songeur  cest très émouvant date ,1.7262392503584105,1
chêne  lapparition lagriculture ,2.7522450875632236,0
croissant fertile  trembles  vieux leurs ,2.3871121485403446,0
racines 80 000 ans cest quand autre chose ,2.29581178556543,0
objets cultes lannée autre page  a ,2.2914022503440443,1
propos combien dessences  darbres leaders ,2.8560726570708037,0
écolos sontils capables didentifier  ,2.309922257400727,0
amusant savoir in situ bien sûrque incendies ,2.38994552196303,0
épargnent arbustes  ,2.7510754713804553,0
plie til romptil magnifique  ,3.6600938844853474,0
photo peu décevante car cest buisson comme dit larticle non arbre ,1.345051966092063,1
 ,inf,0
ça mérité photo non  ,5.031957089695351,0
bien connu faux dure plus vrai celui tremble survit plus souvent lintrépidemais là imaginer lêtre vivant plus agé planète ensemble fauxtrembles clonés plus quun abime perplexité intellectuelle lois langage appellations êtres ,1.3964971795857777,1
comme quoi chêne nest gland ,2.9808165076218356,0
