clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
stand vide a frappé esprits foire dart miami début décembre,"[5.4098554201021587413e-46, 1.01113141316977063006e-100, 1.4930715343295532053e-107, 5.8139154462811837904e-112, 7.6809419421877643676e-108, 2.5523869833461365031e-101, 8.977138247417763342e-90, 4.8672104698126903987e-104, 2.4924249618633283485e-106, 3.3974760125242005304e-94]",5.409855420102159e-47,10
problèmes transport,"[3.093290400158419005e-86, 4.2560270746834459963e-101]",1.5466452000792117e-86,2
officieusement galerie christian haye trouve rue manhattan fait brutalement banqueroute,"[1.0839921821361676999e-108, 1.4248048843812359394e-105, 1.6026499821621541892e-96, 1.6029132438756281279e-104, 9.375961087438922338e-107, 1.9599967073237889041e-107, 3.7460487264639125964e-104, 2.7042938073182641442e-106, 3.1219024035089725174e-103, 3.28689168093983811e-105]",1.6026503529385837e-97,10
preuve parmi dautres marchands pignon rue capitale mondiale lart contemporain frappés crise,"[2.5136247284554892971e-102, 6.395452212198990044e-100, 1.0909580643623369995e-101, 1.8260569530538483141e-106, 2.2384150699926223048e-103, 1.8255105655726540665e-100, 2.5066245057179357256e-95, 2.1454075902750071803e-88, 1.2341855465409989913e-98, 3.524514132979071535e-94, 4.222602053982117427e-107, 4.9548917384212427955e-85]",4.130864291489022e-86,12
suffit promener new york pousser portes constater dizaines galeries installées font dos rond depuis plus dun an,"[4.1287757693608870923e-96, 3.1980693084009979948e-84, 9.3232212339258945623e-104, 1.3650448424624371875e-104, 1.2179984075022381976e-105, 3.823015870614596748e-106, 1.256979696792988951e-99, 4.5213401179818799406e-95, 1.4941692466322480838e-103, 2.0138905621304739903e-105, 3.4096131801847975526e-101, 1.2461673569514507933e-105, 7.445425456165419065e-105, 2.3052805654128129835e-99, 1.5140323613053623276e-98, 2.2663139455923995615e-93, 3.8685012992266396802e-103]",1.8812172415980428e-85,17
partout niveau ventes a chuté prix oeuvres a baissé,"[5.3708377800805985578e-93, 1.644534959057064867e-100, 1.1066852300467805684e-93, 5.769980954020863653e-77, 6.3248188094972277575e-92, 1.1012088945802586676e-98, 2.3492660863217444375e-93, 4.7429376105132338883e-94, 1.8579773384168942792e-98]",6.411089948912078e-78,9
petites moyennes galeries souffrent plus celles représentent artistes moins bankables moins connus spéculateurs,"[2.5145374227263814673e-97, 7.010884322012482932e-94, 6.522765748184193053e-105, 4.1727096064372497427e-101, 7.5605397823164615207e-103, 1.43848920796124219075e-95, 2.5676060714404753801e-108, 4.30634358166418533e-105, 3.2123347778745185727e-101, 5.788183289044832293e-101, 2.8119430026924343683e-82, 1.9043691162034016518e-88, 2.3194135189999013741e-103]",2.163034543899006e-83,13
durant six premiers mois environ vingtcinq galeries fermé,"[2.0612004349431989892e-104, 1.6014105143714240171e-104, 6.075686622601454689e-108, 2.5181417133509701529e-99, 3.967624102087448028e-95, 1.8955002698970611245e-95, 1.2256859325117688614e-108, 2.5264810447268362968e-104]",7.329220240432083e-96,8
certaines sétaient pourtant fait réputation défendant artistes émergents roebling hall rivington arms clementine bellwether,"[5.9331009216878890627e-94, 1.1718578098752366054e-103, 1.2041338868863194818e-103, 9.705907166784874225e-103, 4.7442027636239837818e-104, 2.105510723677561388e-98, 4.0492047914746086193e-103, 2.0708363441761936433e-102, 2.0730790731435940072e-102, 8.0370574996344339625e-105, 1.7909271690443763857e-80, 2.7375945837244594545e-103, 3.697208469865256759e-105, 7.235414911059376953e-104]",1.2792336921745968e-81,14
certains lieux comme jeune galerie évolué devenir centre dexpositions sans adresse permanente,"[1.5661058936893344274e-96, 4.1994451560785134405e-81, 2.1544140597855624695e-96, 1.427350920866514916e-103, 1.10661275940231898495e-98, 6.53110646392861191e-106, 3.8142374934979768888e-106, 8.275404758792387078e-111, 2.4121906369379757303e-106, 3.6208608489746819468e-101, 5.703115226295076277e-90, 2.910007483532594607e-93]",3.499537634820452e-82,12
objectif disparaître attendre dénicher loyer moins cher,"[2.858579445750976149e-93, 7.790999951507715311e-97, 4.540569496621173052e-105, 6.6710412034963926886e-95, 5.0553559003309647668e-85, 5.5893695904814484488e-80, 1.9135969682179200384e-96]",7.984885920058207e-81,7
quartier chelsea louest manhattan haut lieu galeries ville trafic piétonnier sest remarquablement amoindri là où foules bousculaient lannée passée remarque new york times,"[1.4900874085875994007e-102, 2.3619802576731353065e-91, 1.261388417237562961e-104, 5.3807645966341741622e-55, 2.4465117242616174805e-78, 3.0335205386088050393e-81, 7.4736655465780505746e-100, 5.9706299203651497833e-102, 3.02456367394509503e-100, 1.8339303746891599817e-108, 7.396923972579857311e-99, 1.1711987784305359722e-99, 7.38603306402489844e-92, 3.8175575940535940227e-96, 4.5469800167593564758e-94, 8.613992981387665638e-106, 7.5300092873973497316e-99, 2.9622684789174511123e-68, 1.7410712171938228265e-75, 1.2782760993621312801e-93, 6.773431618532803653e-101, 3.417878821861801118e-104, 3.1949978821131173951e-100]",2.339462868101944e-56,23
traders aimaient soffrir pièces dollars déserté,"[1.9059071617446858203e-102, 3.0252424574982470673e-106, 1.9010448327316028958e-103, 3.1198121646222774223e-97, 7.3066756005747109415e-96, 1.8189009436734341493e-99]",1.2700796357157968e-96,6
désormais affaires font collectionneurs plus riches,"[6.346759501875954118e-101, 7.73192167714388764e-98, 5.2883484476856854887e-101, 7.894467153306269013e-103, 6.258158301079278884e-81, 6.1327405587302793643e-84]",1.0440485069396682e-81,6
ceux encore capables dire comme rapporte galeriste jai perdu milliards dollars crise reste millions largement quoi refaire selon baer site internet observe marché lart international affaires amoindries six premiers mois lannée vertigineux,"[5.9628027507254394754e-73, 1.586485611415045118e-71, 2.2394058050336305151e-88, 2.8104318417331321389e-72, 6.828357750379803741e-81, 2.6269306203281086557e-87, 8.397751644040612449e-60, 9.758340136453348363e-63, 7.468611551235773677e-80, 2.4043183441692329149e-44, 2.1700128338856930339e-89, 1.1504688022187201538e-63, 3.5715013340557660079e-71, 8.7253423801649827955e-102, 1.42982528117627274345e-98, 3.7079697354061031517e-102, 2.8192613246102152178e-98, 4.964502475228944416e-103, 7.1604196762835663293e-96, 4.132595356076950959e-78, 5.301013200939467675e-81, 3.1595844514884989338e-95, 2.205377627667827447e-76, 6.325308601417564153e-101, 1.3898366658974604281e-81, 4.7676478739085300353e-85, 7.38068917313311042e-90, 5.9258300310415150874e-73, 2.0085449802725262113e-75, 6.329366851560924772e-70, 7.489957141455587089e-92, 3.0745420422289180868e-78]",7.513494825528856e-46,32
plus puissantes galeries comme paula cooper augustine cheim read parviennent cependant tenir,"[1.9538798880681261703e-86, 8.0771859352547532376e-92, 7.0201243585328960934e-92, 2.9742652062506675242e-98, 2.2085761863528824255e-100, 7.3871533398426169877e-106, 2.9267335730800119693e-101, 1.9642030297284064798e-72, 2.116530699952867647e-89, 2.1065527205740402214e-89, 1.2594613577686009108e-94, 3.326999415605415197e-101]",1.6368358581070218e-73,12
elles dû réduire drastiquement coûts licenciement dune partie personnel pression accrue vendeurs doeuvres payés commission évincement artistes dont ventes plus faibles,"[8.166866278903467458e-104, 2.190355158208730031e-93, 1.2458388405377444108e-89, 9.087076261906505699e-95, 1.07733787935740771293e-100, 6.295466335654515599e-95, 1.0915287785873416992e-104, 1.8885244378329235546e-109, 2.686210948921088073e-101, 6.893758184121404748e-104, 2.6443115694418810792e-102, 1.7335124099797970368e-98, 5.0202662218203427914e-104, 5.7865197907856897552e-98, 2.038415210924660402e-100, 1.5790210006581483911e-103, 4.956413997332006705e-97, 6.1302160702624965184e-46, 1.1226167029217300466e-98, 8.198959003087780451e-91, 2.4987963844446664647e-89]",2.9191505096488077e-47,21
galerie concentre désormais seul espace chelsea contre deux auparavant,"[6.2278374864821538036e-102, 4.4039011864549151506e-67, 2.1557514803410725836e-89, 2.144967329527074367e-94, 5.8074797732149194505e-104, 2.7511487944376078587e-93, 6.5158809104812779866e-101, 1.5314046254678345383e-82, 2.3351181712027606085e-90]",4.893223540505463e-68,9
certains artistes doivent aussi payer frais production leurs oeuvres auparavant couverts galeries,"[1.6122522623157208262e-102, 9.554000425950636004e-103, 9.298520883892736675e-21, 9.512733194471818493e-73, 7.6951941245057956854e-75, 4.0053158493299375566e-57, 2.9762128103887204967e-86, 5.244341158265230399e-65, 7.556123644087869241e-48, 2.5926440372613975422e-89, 1.0715769284039793734e-76, 1.1051558650241522763e-80]",7.748767403243947e-22,12
si nest charles cowles lieu trentenaire spécialisé photographie aucune grosse machine na mis clé sous porte,"[1.5997094897621051717e-71, 1.03925912709235521535e-85, 5.6197253963671531813e-98, 9.2600317949633434306e-91, 3.9205667603699329394e-89, 4.7084181030659720316e-95, 2.1201777321309848368e-96, 5.25740767769501774e-100, 1.8515977666507207302e-86, 7.8252235310202912696e-97, 8.885301382009924885e-83, 2.5070938026619414518e-101, 5.475501444489900916e-94, 5.333011901201470212e-95, 1.8378149298245086438e-102, 4.1054229451313679434e-102]",9.998184311068768e-73,16
larry gagosian considéré comme marchand plus puissant monde installé trois espaces new york deux londres rome a annoncé quil doublerait surface los angeles,"[3.362984027791662951e-88, 2.6017674803053719307e-91, 1.8802509290864693766e-93, 1.2952458800262325092e-84, 1.23275371850582685224e-104, 3.7147238889012109012e-94, 4.4316236066481685612e-80, 2.0235976652981488122e-73, 2.1607789010605967584e-88, 2.5836568292608156913e-48, 9.284960650922775038e-74, 6.8865535626240353174e-102, 6.1777611600792179974e-54, 3.6174383699202083768e-74, 1.9138662389154409234e-65, 1.6828205813862507763e-83, 1.5795240188963000274e-96, 1.7069842593331059225e-99, 2.3472858512453749392e-100, 3.737208996695121886e-98, 3.9023948540943309022e-103, 4.977880035816715321e-81, 9.9629687462766462694e-82]",1.1233317421834677e-49,23
