clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
parisiens ny a guère,"[2.5932985786289208424e-156, 3.5874170842147432648e-166, 1.4702693143589757304e-180, 4.7221781560131439935e-125]",1.180544539003286e-125,4
sous arbres ruisselant lumières bordent lavenue champselysées fêtards déambulent hordes joyeuses frigorifiées,"[5.2145745644268202376e-184, 8.2455167045296385686e-226, 8.2423951339339567848e-171, 1.9745653126367422089e-137, 3.6520716873480322995e-126, 3.9443644012445315924e-181, 5.3112434070270491935e-96, 1.4118873665087081456e-197, 5.0465705606478865946e-103, 1.3803962876688336471e-190, 2.7784552241564951057e-201, 5.0135357822023738232e-146]",4.4260365930700876e-97,12
italien russe turc anglais,"[3.1587223277804335081e-128, 8.9295945943919336405e-155, 1.3319160522118097982e-184, 5.944424029217429247e-147]",7.896805819451084e-129,4
malgré quelques chapeaux pointus carnaval bonnet laine toque dominent froid gueux,"[8.0373270323515352034e-211, 1.4823923766880338473e-200, 5.0610294347945303405e-189, 5.2752588032648272205e-182, 4.8784866648563518747e-119, 4.8503587644676260729e-172, 1.4297195968272884647e-175, 1.6867875624716681231e-136, 5.7772804658679166706e-127, 3.047896801137301371e-227, 1.567769988578093905e-182]",4.43498792966287e-120,11
bien avant minuit certains déjà sorti champagne,"[5.0753765917484456936e-192, 1.4911355099197160033e-187, 2.0745363730891768405e-112, 3.8732547514016148e-172, 2.234413866863005925e-182, 4.4889520433039563455e-207, 4.158042901038916122e-209]",2.9636233901273953e-113,7
dautres réchauffent instant massés grilles métro avant reprendre marche moutonnière vers larc triomphe,"[4.467356511240464303e-177, 1.0690631726100564344e-200, 1.6191623207132359477e-159, 2.8424744642894065118e-233, 2.8528228644080120556e-158, 6.6485586586131247223e-234, 3.5826592787044987212e-242, 6.134600282694375733e-157, 5.1513572265668034217e-181, 6.9610996401194259356e-188, 5.8210447206050739007e-130, 3.228158175507103608e-197, 2.239601149619709667e-145]",4.477726708157751e-131,13
a partir heures plus aucune voiture,"[2.5605263162732440215e-172, 5.1926912527363501866e-187, 5.0038655785611462062e-217, 1.7501273199571656026e-158, 7.076178081527838919e-195, 5.199206323632580981e-234]",2.9168788665953185e-159,6
marée deux cent mille badauds a envahi lespace chaussée incluse place letoile celle concorde,"[2.5313629836643933806e-141, 2.670648946341150172e-154, 4.0648821940476792928e-197, 1.1365176849155067848e-129, 8.2818649621234910706e-199, 7.478861436433575579e-219, 2.9067120147504403335e-163, 6.3322693431546770345e-170, 1.4670742160947000474e-235, 3.1091919190845621653e-145, 5.413573817417142648e-155, 3.552810246825466484e-130, 3.7617278235320786401e-199, 1.8262945155891690242e-195]",1.0655705068575608e-130,14
lan dernier cinq cent cinquante mille,"[1.3437178403882920138e-195, 3.4243744729246528024e-119, 2.728492551492865715e-125, 3.3939342820056043233e-154, 9.158997921543006463e-171, 6.5462475298456660043e-199]",5.707295335695341e-120,6
couple gamin ans sest retrouvé champs sortant palais découverte,"[8.6150471980488304026e-229, 4.3343603649057200263e-176, 7.778040476543944619e-184, 8.353619766724484992e-224, 3.5568596339768132067e-184, 3.6413004713413045212e-190, 1.6490297079007366531e-176, 1.3772737035973171135e-138, 5.215640100932093323e-136]",5.810458708853408e-137,9
restés quartier voir regretteraient presque,"[5.6856266891235445764e-191, 8.639400904676867254e-177, 3.8371953587761322896e-162, 3.1065720413730146358e-143, 2.3592575783390830571e-185]",6.213144082746029e-144,5
comme déferlante foule semble vouloir tout emporter,"[6.4945553525334105425e-115, 1.8004504869316365179e-150, 7.904395249879887562e-177, 5.1166283749752262108e-161, 7.5719719472075057143e-65, 2.764519573610703437e-190, 7.5876056689497501975e-122]",1.0817102781725008e-65,7
coincé ballotté moyen séchapper,"[3.2318759041401794467e-143, 1.0727325496491092145e-220, 5.414117770834827893e-153, 4.5502214797374887097e-182]",8.079689761703978e-144,4
