clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
clermont vainqueur quartd heure,"[1.8344687300657321298e-577, 6.1180303460079595116e-575, 4.406557270198222921e-437, 2.2417048724084467619e-422]",0.0,4
rythme vitesse collectif qualité conquêtes beauté mouvements précision angles course presque tout,"[1.827749698279435645e-598, 9.31495172142779209e-537, 5.4749884000711842316e-593, 4.122780606860800816e-537, 9.5183698969248798843e-206, 9.628940643675868533e-541, 2.8632137576932324479e-524, 1.5843161963545629095e-498, 4.6254742266778509787e-633, 4.7607911669619208184e-532, 4.505123534557542345e-513, 4.710897822364094859e-496]",7.931974914104066e-207,12
puis auvergnats réduits carton jaune infligé n° lee durent s employer contenir grand toulon tenant ballon pesant tout force puissance tempo,"[2.254987443707543086e-461, 5.635445568549163802e-594, 3.6397043216502279076e-609, 2.308163728631081924e-513, 7.001544390440896469e-566, 7.8180613825104991814e-570, 4.105997987257339803e-632, 2.0241628886824476704e-445, 5.459247824564631694e-577, 1.5344100275233987671e-533, 5.7389068814278173244e-587, 5.3291519617305016195e-481, 4.0991972700027597194e-370, 1.0595680676949061845e-388, 1.3977672708359222352e-535, 6.221674806759823147e-528, 6.824994183090597175e-521, 1.4843190183492363053e-581, 9.695415806967566855e-548, 1.21637613611227141504e-588, 6.775891209901458079e-623]",0.0,21
deux écoles télescopées sans retenue orage d anthologie allant puiser plus profond leurs vertus respectives,"[2.5032749587082108585e-620, 1.8538027406063934997e-590, 1.5996486431245474616e-490, 1.1285669518777638304e-524, 1.895224568368115443e-604, 7.68450125211915684e-518, 1.461154565849700677e-568, 1.0869891361788031596e-575, 6.2110775522421454795e-697, 1.1326011454277392278e-533, 1.4518992307827258594e-423, 1.3497190806095139737e-660, 7.480904130399917783e-525, 1.0117414556400113608e-581, 1.1996336017911693077e-518]",0.0,15
collisions terribles,"[1.3288043986104050594e-609, 5.5315894910572400743e-635]",0.0,2
ko rendezvous,"[9.7224210839797794906e-518, 7.193326761322336938e-568]",0.0,2
rugby jupitérien déchaînant systématiquement feu estil soutenable durable vivable souhaitable doute plane,"[3.1286038794791273228e-631, 1.5964960432268644407e-690, 3.1696499563396330856e-611, 9.152842717291833951e-606, 1.1002703363176883124e-363, 7.305378904347135061e-351, 1.0853327228335970155e-192, 2.425024918223227113e-258, 3.5420353056964909465e-501, 2.0644522142108736126e-573, 7.3029362575141378104e-601, 1.4109496963839738763e-605]",9.044439356946642e-194,12
bouclier brennus trophée brandi hier soir deuxième fois histoire exemplaire maison ovale d auvergne goût délivrance l entraîneur franck azéma apparu télé visage transfiguré apaisé comme jamais,"[2.534687425867643733e-257, 1.1303178075851604599e-676, 4.0740871964182045496e-540, 3.0851433186558409172e-466, 5.9453377622082594563e-636, 6.628247452573093166e-580, 6.2379673255790509223e-512, 3.1107469803050310908e-126, 5.1180942859067732527e-484, 3.873047839040707458e-531, 3.2668528097646864764e-138, 1.0, 3.3377670994539165682e-498, 3.9020901818290953933e-570, 7.0104042733117871845e-531, 6.494543640505046218e-530, 2.2376509613194188618e-177, 9.724805348676698861e-550, 2.2088953225352490662e-457, 2.5379686892164461092e-633, 9.212638259242975017e-548, 6.303061952782406618e-623, 1.32846787587355391225e-561, 2.6934641218955994822e-572, 1.7155618457631169917e-526, 1.0046094603344369801e-551, 1.01058140205084133375e-530]",0.037037037037037035,27
bouclier rime guerrier,"[2.4498285477384273293e-539, 5.2523735662063707403e-579, 3.734428701792652763e-665]",0.0,3
bataille gergovie près clermontferrand termina rarissime victoire gaulois vercingétorix légions romaines césar,"[2.0217422803604897995e-547, 6.0697370300185846166e-374, 6.5402880928131967986e-607, 6.1654642520763038244e-648, 4.0330355361308029267e-594, 1.0037075098809976834e-561, 1.2949462557268303616e-388, 6.813013186448898406e-479, 1.9320500408547228199e-607, 8.4263586006763786105e-571, 1.1383434102971274354e-540, 1.3336306522303897178e-566]",0.0,12
