comment_sentences,word_mover_distance,useful_wmd
« panneau montre voiture sans « tête »» ,3.396778410860779,0
« adulte jouant enfant preuve ballon figure entre deux personnages » ,2.1337291600360695,0
esprit sadique pourrait penser deux personnages jouent tête conducteur ,1.990096226811841,0
avertissement pourrait traduire ainsi « automobilistes n’êtes plus rois cette rue  » ,1.7698240122872881,1
merci sourire matin  ,2.7150460069387607,0
n’avais vraiment pensé cette interprétation là… ,2.295446292350917,0
a lille « grand place » depuis 2012 « zone rencontre » si veux bien croire ça peut marcher petites rues résidentielles peut dire très agréable quand plusieurs milliers véhicules traversent chaque jour fameuse « zone rencontre » entre rue faidherbe rue nationale  ,1.4504598574452456,1
traverser file voitures tient alors plus course landaise flânerie… ,2.0352620363773344,0
peutêtre peut attendre mieux nouveau plan circulation dont mise place attendue cet ,1.8881969613107614,1
pourtant si fie l’office tourisme grandplace piétonne ,1.587215179029914,1
 ,inf,0
or ,7.229205365445341,0
a lille l’erreur a enterrer supprimer circulation quand parking souterrain a construit ,2.014564348956586,0
a pourtant potentiel faire gigantesque espace piéton deux places voire jusqu’à gare rue faidherbe ,1.4799113218332904,1
n’est tout fait exact a deux concepts différents ,2.363021618614688,0
autriche a concept wohnstraße « rue résidentielle » quasiment panneau celui luxembourg donné exemple ici ,1.5492546634577007,1
 ,inf,0
limitées 20kmh uniquement autorisées voitures s’arrêtent donc passage ,1.6334510428558695,1
petit tour wikipédia différents panneaux européens ,2.576861200443982,0
 ,inf,0
a aussi « begegnungszone » zone rencontre panneau comme france rues principalement passage commerçantes exemple voitures droit d’emprunter ,1.6494260183566396,1
aussi rues piétonnes interdites voitures rues destinées cyclistes voitures limitées 30kmh ,2.0365262308205545,0
 ,inf,0
apres dictature automobilistes voici venu temps tyrannie cyclistes partout respectent rien encouragés leurs comportements dangereux nouvelles règles municipales circulation paris versailespar exemple ,1.0303684844042773,1
difficile piétons sentir d’être sécurité trottoirs partagés plus plus souvent désormais entre piétons cyclistes faut plus interdir remontée rues sens inverse vélos ,1.7958987457066715,1
tout roule a place chaussée trottoirs ,2.43340809403179,0
reste piétons doivent bénéficier trottoirs désencombrés tout superflu notamment panneaux publicitaires pensée particulière passage non etou mal voyants ,1.1538356063064552,1
utilisez mot « tyrannie » vraie vie cela s’appelle plutôt « conflit d’usage » a matière beaucoup d’idées reçues pratique accidents très rares ,1.7560793684323601,1
 ,inf,0
doublesens cyclables davantage accidentogènes contribuent contraire ralentir circulation motorisée donc sécuriser rue ,1.4488879433473458,1
 ,inf,0
 ,inf,0
solution simple élargir trottoirs réduirait largeur voies automobiles donc vitesse motos voitures conséquence cyclistes sécurité chaussée viendraient plus trottoirs ,1.7750152276525697,1
 ,inf,0
or ,7.229205365445341,0
quel place cycliste alors  ,3.079356716915188,0
automobiliste veulent vélo route piétons n’en veulent trottoir… ,2.489652122536013,0
cas piste cyclable matérialisée trottoir  ,2.7765979727825116,0
estce qu’un groupe piétons discutent milieu trottoir sans prêter moindre attention reste monde autres piétons compris constitue encombrement  ,1.5814716992798576,1
vraiment vision étroite uniquement tournée vers piétons alors but plutôt faire cohabiter façon paisible sereine tous monde… ,1.3686773325563393,1
piéton abasourdi ,3.190628276425185,0
c’est plus faute aménageurs qu’aux cyclistes aussi piétons comme tout monde  maquille trottoirs pistes cyclables alors place vélos bien voirie « tous véhicules » ,1.522880476946417,1
cyclistes préfèrent conditions sécurisées route sans voitures frôlent 60kmh prennent bande cyclable parking mettez bons aménagements cyclables route n’aurez plus cyclistes trottoirs faites passer l’info élus ,1.3112988427228949,1
merci petit tour d’europe ,3.2366910401119635,0
toutefois réduire l’état progrès d’un pays qu’il a panneaux trompeur mettre france l’autriche sac injuste autrichiens ,1.3544823685986207,1
faire vélo autriche flâner rue plaisir surprise  si tranquille  gros problème comportement d’une bonne partie automobiliste français ,1.3407675776447001,1
alain ,6.11728536562074,0
autre solution lorsqu’on vélo l’on croise voiture mettre milieu route sans vouloir faire mad max fais ça fils derrière car si mets côté voitures prennent peine ralentir croisent moins d’un mètre vive allure police insultes fusent tire langue lorsque plus près ,1.3242191314380913,1
serrer droite lorsqu’on roule route vélo règle simple cyclistes habitué appliquent ,1.7400420531514984,1
c’est règle simple rester vie lorsqu’on fait vélo route tous jours ,2.158500676216555,0
zone rencontre france a gros hic elles n’en non vraiment fonction car chaque voiture arrive pièton range côté vélo fait pareil voiture donc toujours prioritaire ,1.7070741331968167,1
a deux connais ville n’ai jamais vu voiture patientait derrière pièton lorsque contresens cycliste si veux mourir mieux vaut ranger côté ,1.4630492388434846,1
zones rencontre plus plupart grand bluff communicatif ,2.0895662250713696,0
problèmes qu’en france mettre panneau signalisation suffit généralement l’aménagement route suit nécessairement souhaité ,1.5092931798178408,1
exemple banlieue ouest paris  ,2.382940652316069,0
2×2 voies large terreplein central composé d’entréessorties stationnement souterrain autant dire limitation 20 kmh n’est absolument respectée piétons font bien mieux ranger trottoirs… ,1.267117827120337,1
problème aussi vient potelets  n’y a trottoir donc rien empêche voiture garer côté donc met potelets ,1.6043744900969934,1
donc recrée trottoir 2 zones  voitures milieu côtés piétons ,2.6665198023391357,0
solution garder zone « vide » vraiment verbaliser automobilistes s’y garent ,1.90600230686443,0
a plus simple  inscrire code route l’article suivant  ,1.744123200408115,1
ordre priorités  ,4.304943430555603,0
– piétons ,5.2542713209665335,0
– vélos ,6.792572967090202,0
– engins motorisés ,3.682592984424329,0
c’est tout  cela mettrait fin domination physique l’automobile rues  « rencontre » métal lourd d’une tonne contre chair 75 kg…  ,1.5274279748267683,1
effectivement cela résoudrait bien problèmes ,1.8717742292701072,1
