clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
bonne fille bon fils acheté billet train déjeuner chez maman mai jour fête mères,"[1.68979713806350695e-319, 1.6886242432690188101e-363, 3.459349611900848768e-459, 2.3478812364616359778e-471, 3.1273271685006050842e-567, 2.7830679859771938212e-547, 7.4734216861180683617e-544, 1.4885250966474040602e-404, 9.040235348469654861e-650, 7.302425409431654459e-553, 4.187340577037608593e-608, 4.2105258266615043208e-544, 5.920837126423544191e-481, 5.1667985483874160273e-458]",1.207e-320,14
l appelez annoncer bonne nouvelle,"[7.3881611052674822676e-624, 5.1373060864308116612e-487, 2.5361613220053962285e-680, 6.877408608836386104e-486, 1.3987613619264582894e-541]",0.0,5
là chère maman répond qu elle vient justement réserver billet rendre visite jourlà,"[7.4679802124639596364e-595, 6.7086057511095918127e-464, 2.1408253821123784277e-567, 1.6453362730710679423e-536, 1.9818222625603334224e-278, 7.5202323693686053327e-410, 1.3202524261142503234e-476, 3.2141194274489543683e-401, 2.9117704649690704834e-542, 2.8854684321217147463e-618, 9.795598043564320513e-477, 7.7568565183419868686e-615, 3.432624999086498325e-493]",1.5244786635079488e-279,13
va falloir annuler l une réservations,"[1.0020841195674617285e-457, 4.337166668609797512e-492, 9.29303683916563154e-219, 2.3878515139164743051e-583, 2.009820703302141394e-380, 6.726373554290136072e-639]",1.548839473194272e-219,6
cette opération va coûter,"[1.4172700837134079987e-525, 4.9816984162954046865e-510, 1.4363994283721344494e-597, 7.0512945253673446884e-520]",0.0,4
prix billet,"[3.7316626924602342482e-610, 3.5595577557746683145e-586]",0.0,2
a compter dimanche mai sncf modifie effet conditions remboursement billets,"[4.129038893441620106e-376, 1.0535381837551273072e-639, 1.8509506447557389742e-403, 1.5769955483715782112e-587, 3.9268440984007345643e-678, 5.876302083299879555e-453, 1.7878124322302848465e-462, 1.09720890560306765045e-492, 3.1050668309760962998e-516, 1.0396185931856545719e-400]",0.0,10
jusqu à présent possible d échanger annuler trajet sans frais jusqu à veille départ,"[7.138340892118161454e-469, 7.5051623077177153476e-477, 8.575584914852720371e-600, 1.1116689063975009452e-485, 1.6326142994465705008e-500, 8.9670211693240772186e-482, 1.0295843464308669165e-332, 1.1998739536388585142e-616, 1.3578416515203796367e-486, 2.1062512933605064256e-386, 3.1097842133609823327e-331, 1.34697941218328289375e-399, 4.6671585414217859723e-317, 3.2097917590170665106e-130]",2.2927083992979046e-131,14
désormais échange moins jours voyage facturé,"[1.5395765079447103495e-608, 4.7627465160065198785e-472, 1.6262631069283657427e-506, 1.3323487221650384306e-496, 7.900786074577452799e-514, 7.715349252600537359e-595]",0.0,6
veille jour trajet soustraction atteindra prix billet toutefois plafonnés tgv trains intercités où réservation d une place obligatoire toulouseparis via limoges exemple,"[1.8804476584352211676e-606, 1.8415764779309231005e-440, 2.8093935351948002318e-475, 6.0806563636823325993e-535, 5.16374349890999109e-449, 4.5403124179172853037e-456, 8.923264602766167964e-658, 5.242824584464777261e-607, 7.5960104933892385316e-577, 4.0313632518961395272e-503, 3.8652288136355272393e-511, 2.9131439617469309583e-500, 1.0926849559336944149e-437, 2.623455019150285694e-541, 3.1747837475694756034e-671, 3.578666801341214316e-517, 6.1179969547465518248e-546, 3.3549455216465848978e-401, 8.528816561037450752e-482, 1.6511049691883792503e-336, 1.3600767508147648115e-562, 8.456763020109081587e-699]",0.0,22
[''],[],0.0,0
a écouter ici explications valérie delhinger chargée marketing branche « voyages » grande vitesse sncf,"[3.335323017794424549e-618, 8.3906195173414902196e-527, 4.786708309206792598e-403, 2.7514599706856047382e-538, 3.8724823948039238198e-483, 3.447737010170419584e-548, 1.6437053188651151688e-620, 8.073130717209010981e-291, 3.1762762979606208878e-473, 1.16023162333346533846e-476, 6.364096957031483251e-516, 8.801993777843286097e-601, 5.996209770367525767e-575, 1.2665694163035711642e-509, 1.18869360467654683485e-648]",5.382087144806008e-292,15
pratiques gênantes,"[1.3023726858383032441e-594, 5.1882070445841591736e-507]",0.0,2
compagnie ferroviaire justifie cette taxation annoncée janvier pratiques certains voyageurs,"[8.900650361349572385e-524, 1.38930939973197443565e-596, 1.1817820472524390645e-549, 1.2982535739225862479e-545, 1.3217019835811766947e-569, 1.1544534984627442371e-634, 2.4377148710377221884e-441, 2.7276624676995459489e-533, 8.282097309184331917e-681, 9.8474932461554361745e-359]",0.0,10
ceux exemple achetaient plusieurs billets train destination dates horaires différents,"[4.3705067129191218073e-458, 1.453378563823906419e-467, 4.571251871178703729e-550, 1.8683527498383411616e-398, 1.7969300252917240095e-585, 1.1565321600508901313e-505, 1.1838422665506830547e-521, 1.2448491401465703338e-451, 5.499611500981539342e-587, 3.3779307544785381577e-490]",0.0,10
veille départ annulaient toutes autres réservations,"[8.9069874489823352177e-629, 3.3802010644501357112e-423, 2.1612070837951715968e-547, 5.5905654022370834294e-512, 1.773631389934655251e-669, 3.1359643578735049263e-586]",0.0,6
