clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
all blacks quinze france,"[5.003475710330791423e-215, 3.9836984513017157196e-240, 8.1191778342097239454e-172, 1.7361897880666399267e-200]",2.029794458552431e-172,4
force noire fougère d argent nouvellezélande n a rien fait d extraordinaire concasser bleus samedi stade france,"[5.92387508161086481e-254, 2.8638042913834383812e-273, 3.4773343476612515114e-187, 3.480037919273719182e-257, 2.542250506649054645e-253, 2.2652143078693563318e-272, 1.8272960400228349535e-212, 2.031179109252310275e-324, 5.6584076529259739014e-190, 1.4254565312251426748e-280, 2.6495709072785034396e-180, 5.5965037890720084507e-293, 1.4575185409388287122e-283, 1.3451842066524848764e-243, 9.3290521178956474615e-238, 1.01523659605117716154e-221, 6.6698700945907268733e-264]",1.5585713268104582e-181,17
hommes capitaine kieran read mis jeu tout bête d abcès fixation l axe avant déborder ailes troisième ligne comme sam cane venant l intérieur franchir dernier mètre si besoin,"[1.7384611793852354232e-237, 1.0656344931746539948e-272, 7.391584298305820889e-313, 1.7720363296774761672e-249, 2.0810379883699703594e-307, 4.0421645808095586893e-341, 2.0202441489197560469e-270, 3.6520834302566023866e-308, 7.250037204001551677e-266, 2.9756081539407415603e-242, 1.1774519707771124098e-270, 1.3338561043368489259e-161, 4.6679704416482063984e-290, 3.830356381439803621e-327, 8.948526115744625977e-294, 6.098536276375666557e-282, 1.0975973075204019766e-311, 4.849045003622012083e-258, 1.3390588550505987244e-331, 5.0749564451968728653e-284, 3.29414407912133841e-224, 1.24031752971880176e-305, 2.5325999413973413157e-334, 3.8694366444358557604e-277, 2.3993191722519219257e-308, 2.493629193476810682e-319, 1.1867895351519494753e-330, 1.4881450856266378526e-325, 1.4725779070874102256e-281]",4.5995038080581e-163,29
ça s appelle rugby l ancienne,"[2.4708214598604643138e-284, 5.422361333075788378e-330, 7.813013645126794563e-328, 2.0930100275724138399e-297, 3.1391221274936216189e-314, 2.475646734291043788e-330]",4.118035766434456e-285,6
tout produit très haute intensité alternant puissance vitesse techniquement exécuté perfection malgré pluie,"[1.1212770482731927289e-251, 8.925232619486451938e-306, 2.8881077372722886375e-314, 3.847513252581481443e-315, 1.1734024429605731848e-233, 3.3282658062889804146e-333, 1.4278604670918994199e-299, 6.874761833465685202e-261, 1.03897318194101182465e-225, 4.3599439815336675526e-319, 2.0139260050228194117e-340, 5.739821966429634105e-112, 1.0056974152597442641e-304]",4.415247666484334e-113,13
barrett l ouvreur a pesé d un poids décisif justesse tranquille jeu passe directe l ailier décalé passe pied toujours l ailier décalé,"[1.9722019257049201509e-253, 2.0731089494423207797e-309, 5.1830834847588372423e-320, 1.6157080870701754976e-246, 4.2286452419550886267e-237, 5.8848572819389904478e-301, 1.9959599745577733197e-201, 2.32403926957801904e-276, 3.7176179967107372446e-257, 1.4943140492260941315e-199, 1.2161195901866381439e-288, 2.1937653450244762067e-313, 2.62055250701545496e-237, 6.3806241362966870426e-307, 4.663827824886668146e-198, 2.2746935882592972537e-254, 3.6226612852318742754e-337, 8.994904347179032842e-279, 4.610952845515217605e-278, 6.318425407934905861e-299, 6.336970136684786314e-233, 4.7747187431712837617e-214, 1.806026714483256557e-172]",7.852290062970681e-174,23
précis sans bavure,"[4.4826430780869219124e-271, 1.6672526297577822372e-344, 7.90633767805721185e-273]",1.5205688182891647e-271,3
bleus n y vu feu pendant toute première mitemps,"[6.727597825091236776e-227, 1.04379674549223316153e-305, 5.487391223596372061e-202, 1.7555944670556032195e-175, 9.921135206791190375e-193, 3.592720650936992185e-222, 3.9136669228460765088e-122, 5.05070434893049218e-196, 2.3432523485900333898e-198]",4.348518803162307e-123,9
peu rouvert yeux seconde période,"[4.4431406213839077043e-07, 2.2875964087336652207e-252, 3.0142246097773696506e-175, 4.9272944152978809023e-299, 3.3485382226938598402e-256]",8.886281242767816e-08,5
quel rugby d enfants part cap tain guirado équipage c était bien peine mettre autant d énergie première mêlée match faire spectaculairement reculer blacks épreuve force censée entamer moral,"[3.551713286322697907e-212, 1.2875774769274072902e-22, 3.5550282540760488995e-319, 1.3455898966178480687e-88, 4.2330840943394486874e-73, 2.5346587741614068519e-157, 6.3553430278194765166e-285, 7.4248755643743811427e-287, 8.228943051903538327e-188, 5.771609615274122525e-115, 6.219568292933369105e-200, 2.0386143705403588093e-257, 1.6836554604821374952e-286, 4.2957684105352301265e-191, 3.725506383921952328e-127, 4.2300237430548626e-173, 1.2116628186288137194e-273, 1.177152313352354184e-223, 5.05269668261843745e-203, 7.023145354304770872e-204, 3.4739863613678650243e-185, 8.608394155549322782e-258, 5.9148076767093894655e-286, 4.414874450167099402e-226, 1.5051461360963085324e-208, 2.4590916429789842234e-194, 2.8033934835277547106e-233, 4.2803038854043710327e-109, 2.0420422436687423714e-237]",4.4399223342324386e-24,29
