clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
souvent citée exemple lors débats taxe carbone taxe suédoise prévoit aussi généreuses dérogations entreprises,"[1.5504229354806226261e-99, 4.1515315625875292039e-221, 3.0483189809896453616e-220, 3.2461343961301197255e-137, 4.9913194319275125663e-201, 1.5393962738195661422e-249, 2.9885078702917818564e-120, 8.1507782143201842724e-168, 4.42959800690749469e-114, 2.3347880007745641993e-113, 4.1054052980552167281e-91, 5.672775915309450932e-208, 1.4175504339250104585e-120, 1.485356118180830657e-194]",2.9324323668281758e-92,14
cette taxe compter janvier nouveau augmentée léquivalent dun euro tonne co a introduite dès suède,"[1.9059060308170374825e-210, 1.0879941567442607385e-135, 1.574886443701772686e-201, 5.5415220318495581442e-255, 8.963126254236053053e-178, 2.0176169755941343282e-101, 9.70857333568454774e-185, 4.288188795905875658e-195, 3.1334437950415356527e-240, 2.4193322668648843854e-231, 6.429155780710295294e-242, 5.8175165100304834834e-115, 5.4557614512145148386e-207, 1.5131876886472215093e-291, 5.1374789475393455234e-253]",1.3450779837294616e-102,15
dailleurs patronat suédois soppose plus cette taxe carbone,"[1.8172883003824708769e-279, 3.2434253901297677449e-260, 7.896924696378823657e-252, 1.0596832955203972877e-256, 1.4916321182739111498e-274, 4.3496462913895488817e-220, 8.928083197180121811e-145, 6.474054355926518875e-319]",1.1160103996475153e-145,8
taxe carbone nest trop obstacle croissance faut rappeler cest parce lindustrie bénéficie dune réduction taxe carbone rapport paient foyers dit torbjörn spector expert fiscalité lénergie svenskt lorganisation patronale,"[4.8866926296569086754e-207, 1.0397165376739731957e-179, 8.522050505136997809e-274, 2.8112657865243588016e-254, 7.3963268961102831924e-148, 2.720895481197598403e-241, 7.0431709781092914106e-220, 4.3953179531176265468e-178, 7.2029300773693411995e-268, 2.1545697907498944334e-200, 2.9198966554257638088e-164, 2.4598178498286544162e-285, 1.7478158030150752323e-263, 2.4335381297335295198e-161, 5.4346656493874334165e-234, 1.2601762122680926001e-290, 1.7986768831499072428e-220, 4.1318845278892519512e-270, 1.8594047446492646622e-172, 6.916998268892842907e-272, 3.94438454123818216e-248, 2.2525220030017995923e-266, 4.138157680988314808e-260, 5.4449820727870707475e-282, 3.2773332400038665511e-229, 3.7641267344071437715e-144, 8.201036449866892182e-263, 1.05265043338245174394e-255]",1.344595131105984e-145,28
faut industries exposées concurrence internationale conservent cet avantage sous peine dêtre pénalisées cet argument particulièrement important suède compte très nombreuses multinationales rapport taille population donc très dépendante exportations,"[3.1790584834197229426e-159, 6.6829871460735709923e-153, 2.6728917263821830086e-266, 1.0865563190527769505e-192, 8.774396307969365621e-226, 1.6908864692775174434e-223, 2.344026034449568269e-229, 9.489510130548369187e-186, 7.1306606157286667585e-253, 5.9026007802846281256e-276, 4.446441230497191196e-233, 9.0550619979378774334e-284, 2.4605401531864491758e-278, 7.800493013124384626e-254, 7.337288770067173705e-190, 4.0579161035066154928e-250, 2.2639680832831389315e-54, 4.081331999559178405e-102, 2.9073573769353303172e-223, 5.7052542619730077915e-162, 1.5364921908564856842e-91, 4.9887832304103948768e-192, 6.378125194783311682e-229, 2.4275312426974053026e-56, 1.4596495833263513707e-202, 3.8542029402557140414e-181, 7.409257909832400823e-154, 9.505314950025366503e-288]",8.172297841821832e-56,28
satisfaction côté gouvernement centredroit où lon répète cette taxe gêne rien croissance vingt ans rejets gaz effet serre réduits quand temps croissance a augmenté,"[1.5682068498252617365e-277, 5.908308210210298762e-94, 1.05767295811193416116e-300, 6.268018633708411864e-250, 2.179158040049840172e-141, 3.0042763034872913732e-220, 2.4238244044647786776e-176, 2.5427873502712444157e-190, 1.51067874385304515e-225, 5.9341047385238691055e-168, 1.2137888566584784346e-270, 3.1473918902540714588e-240, 1.33747955719037387405e-222, 2.0765619945872641297e-94, 2.9099651689076039067e-160, 1.5432452296511214071e-242, 4.4012122512904626165e-93, 2.4762648867163354825e-207, 5.986221972209491698e-269, 1.513305123575576925e-149, 5.675613797019166926e-162, 1.2792523774274944745e-291, 2.0658285422983566901e-188, 8.643328221359342194e-207]",2.166541363237591e-94,24
daprès estimations ministère finances émissions suédoises co plus élevées sans taxe carbone,"[1.8310318818207769334e-205, 1.1958239530050821872e-300, 1.4230555280299375135e-173, 2.1677339511412556387e-272, 3.6349916064324513806e-292, 1.1177943383620005416e-186, 3.9590281415673651448e-251, 2.3715421396869915366e-194, 7.6167510307200845157e-98, 4.0645299440905878462e-215, 6.631655100798471531e-134, 9.666094677807796539e-101]",6.355347604498244e-99,12
letat suédois perçoit chaque année milliards couronnes milliard deuros provenant cette taxe,"[7.2504744645478463788e-124, 5.5103473934599079073e-218, 1.5481931874270480274e-184, 1.6323075452921868078e-118, 4.7095627265866138964e-216, 2.1758262931236636174e-129, 3.9489195820357487916e-208, 7.77139725425544066e-188, 0.999999998943802796, 9.643553618351567663e-250, 1.9805528233506040567e-84, 1.0012805783353131602e-60]",0.0833333332453169,12
lors lancement taxe co euros tonne,"[1.6596943725569790217e-138, 2.150658465682664698e-170, 1.3872289546433885185e-113, 8.509376153316376423e-174, 2.304641257660730837e-122, 1.4769487616726613294e-164]",2.3120482615800496e-114,6
aujourdhui atteint euros tonne co six fois plus prix envisagé france,"[3.3776375827307183361e-206, 3.2305415290264765029e-174, 3.6820149658956760625e-152, 2.2561811115525095708e-235, 1.2452554705707513208e-249, 3.5720132921601084153e-77, 3.8075543432549998594e-116, 1.4964272394458054377e-277, 1.9532833260206799667e-133, 5.1309099363297712857e-70, 2.6371743989301092847e-116]",4.664463903210091e-71,11
