clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
passe navigo unique euros mois n aura duré mois,"[3.275292356394960261e-569, 8.748579683539018459e-592, 7.891817994720758409e-498, 2.3451769278160671588e-451, 6.448349893074149137e-526, 1.7648356347759893866e-606, 2.1551858515881665238e-565, 7.357970432942952006e-351, 6.66911375221608014e-578]",0.0,9
août coût passe euros comme l a annoncé présidente lr région iledefrance valérie pécresse lundi juin,"[1.0686389175523362691e-483, 2.236658234945684809e-374, 8.734244757966823159e-242, 2.3375810042533545045e-458, 3.5554429518538953278e-544, 1.2815743933424554141e-547, 1.3728158405009733132e-519, 1.7583356994687152893e-592, 2.5335654080178661997e-585, 3.6899389958770711004e-597, 1.4141484852037272901e-276, 6.0813911532830590548e-494, 1.3497736621129551695e-521, 5.2281552872393157335e-639, 3.0336359967105032045e-505, 2.0161937114083626727e-520]",5.458902973729265e-243,16
cette augmentation contre environ moyenne chaque année détail ici peu moins avant élections peu plus après élections,"[6.837780691423738949e-489, 5.6931896128866321544e-467, 3.5829894660552822802e-505, 6.8287457866754675677e-633, 1.34388939049868037215e-393, 1.2243517306443480506e-534, 1.973928118683247345e-531, 2.1054663310784596131e-653, 2.6080372680552178003e-450, 7.7057831910291068094e-579, 3.0723947790121858226e-457, 2.080923153171956307e-485, 6.270639435327583976e-553, 6.340203985672427102e-636, 1.1740405749706439633e-485, 9.440397140911082412e-605, 7.334597472165282708e-601]",0.0,17
quoi vont servir euros d augmentation lire aussi remboursement usagers touchés grèves inondations juillet,"[3.5553750892369547492e-612, 2.1437324149296410289e-351, 3.9785790837122105067e-640, 2.2406129471376157922e-520, 5.0825550792728360117e-579, 5.4922230375064710927e-540, 5.868640653563345496e-690, 5.1709815852069919184e-617, 5.2360204117831970143e-500, 5.83667783163503256e-464, 4.9282019729249488475e-649, 3.5986922348997381705e-526, 3.7387209318487267188e-590, 1.9150254738434412435e-533]",0.0,14
a beaucoup choses répond mme pécresse,"[6.6733571395416828426e-550, 5.535033152973721259e-568, 1.8289464643980712563e-616, 7.272744676142012246e-519, 2.2000186220474718411e-495, 8.459335368442461405e-611]",0.0,6
tout d abord renouvellement rames rer trains va être accéléré,"[3.102342189006858915e-610, 3.336682197151728426e-522, 1.0046696315649430778e-629, 1.3178729943582443284e-616, 3.136007411632444169e-498, 1.5147132877213119925e-434, 6.200800762837904213e-650, 4.459934455665373608e-350, 5.4023909721047441e-580, 6.934187460676277738e-334]",0.0,10
ensuite budget ainsi dégagé doit financer « plan bus » promis durant campagne électorale candidate lr,"[1.4991109504940203634e-565, 2.7929387338531102722e-390, 4.5648133739158185147e-590, 1.0537725849036601903e-409, 8.4000159715390403854e-578, 1.8229937391357093693e-653, 3.0212963033357515645e-439, 1.4132005807716921972e-387, 7.437131754086338967e-629, 1.4420695351536640185e-554, 5.331341482383255319e-529, 2.5327744742093515244e-379, 8.402150364931599394e-648, 1.0627859823510422778e-452, 2.224680201420875835e-481, 9.402759476667798774e-319]",5.877e-320,16
enfin région profitera renforcer « vidéoprotection »,"[2.0861818447163432255e-601, 1.1290096701411984062e-366, 4.0436751820747583088e-451, 1.5346806259630318184e-433, 4.481709237188107176e-631, 7.597543416133206824e-607, 7.0186481242348013e-610]",0.0,7
d autres termes euros supplémentaires serviront financer trains bus caméras,"[1.2131934597464055147e-379, 1.4506139720127344894e-480, 4.8762596222821604763e-437, 7.33493471803168556e-446, 1.0290838815813319991e-356, 4.0549804347139104338e-480, 2.809089813848621485e-492, 1.9137338495608660263e-465, 4.0434809344509111764e-436, 1.7032823700197176831e-587]",0.0,10
trains,[8.36797005138583725e-508],0.0,1
rénovation l achat nouvelles rames font partie priorités élus région droite comme gauche depuis années,"[1.3134692877313096264e-544, 2.744529820124903817e-514, 1.0565003703266809808e-444, 5.916566010208755487e-466, 5.515132466244064664e-543, 1.4772433230616283205e-423, 9.227642289770542157e-579, 9.96086186348314697e-597, 1.2035563686887237027e-487, 3.262086742664899325e-462, 3.4794442889254742597e-512, 2.0104837200404319102e-354, 2.2858453692109991528e-470, 4.2640673478918989714e-354, 3.181908752759990752e-653]",0.0,15
« moyenne d âge trains circulant lignes rer lignes transilien plus vingt ans » rappelle présidente région,"[1.0594657352593586776e-485, 1.6197035927264843676e-439, 6.426449903853812399e-417, 5.0093166669164198725e-399, 4.4244956226230657273e-445, 5.5715027761426396536e-545, 7.134463941336376105e-413, 6.7264965511601435016e-357, 2.0806805219218153136e-411, 1.3534878787821663193e-500, 2.6759047261683822025e-339, 2.241289279502518163e-521, 4.8340327677301464503e-329, 5.0647006475697469362e-406, 2.635932408437503353e-303, 2.0771487662936994666e-580, 3.9832776537714435718e-492]",1.5505484755514726e-304,17
d ici fin mandat promet « rames neuves rénovées »,"[2.0136216010161888616e-504, 6.726867194406308763e-400, 3.885330733158686487e-586, 4.1342231033476868033e-533, 6.0189882833244332226e-442, 1.687464417675374071e-350, 2.1247545196927556851e-408, 1.4178369263617932518e-425, 1.10358693249045101e-592, 4.3402218315724440584e-219]",4.340221831572444e-220,10
toutes lignes concernées,"[1.5037818572604004352e-454, 3.4815481399285489454e-346, 1.0851799485707083439e-292]",3.6172664952356944e-293,3
c est ligne bénéficiera plus grand nombre trains neufs suivie ligne r rer b a,"[1.0, 4.695621897930271346e-479, 1.4512786890801980173e-409, 5.499206051698307585e-523, 7.919419023224050426e-288, 6.7711810112620600323e-519, 2.5002217481833035977e-457, 1.711801216411016012e-356, 1.6187116147705165714e-398, 1.9085620005469782915e-291, 2.067185671110615397e-359, 5.499412864869983312e-504, 4.2410190058606383282e-340, 2.0125646505141346334e-502, 5.6759445203941267017e-393]",0.06666666666666667,15
lignes rer disposeront respectivement rames rénovées,"[2.369723720301792646e-525, 5.1001853294962998928e-477, 1.665473501597334841e-597, 2.8118926352193769855e-631, 2.4535506233663173048e-580, 7.037966146905441555e-516]",0.0,6
information usagers,"[1.0043233483934322455e-606, 9.546401942208094803e-564]",0.0,2
associations d usagers informées premier programme,"[6.247554599225754173e-550, 3.430141161738314334e-324, 3.0760920061019390345e-524, 5.60279626005725487e-435, 1.9670349242183957753e-465, 9.553394821377879751e-391]",0.0,6
lors d une réunion d une heure demie juin mme pécresse stéphane beaudet viceprésident lr chargé transports exposé programme rénovation vingtaine représentants associations,"[4.0208646937348637003e-484, 3.0189602500776588084e-438, 2.3659456873850886161e-449, 2.9420901799686276321e-235, 4.6082447698137895597e-444, 1.0122011713557852168e-399, 2.2614989118887939247e-452, 6.121214568620923604e-539, 1.1697807980347895206e-603, 7.6747450121468543656e-489, 1.0653869552212159865e-437, 8.2034540697884830673e-199, 1.6660175505051422129e-601, 4.8655752662423891005e-405, 9.396944699340889795e-523, 3.4310035883771420642e-250, 4.1147421031094961985e-582, 1.2920269909261917586e-438, 6.139359980429710855e-280, 2.067750577990725165e-170, 1.6919109505461072815e-622, 1.8400008880596959005e-554, 1.0599254829855481893e-450]",8.9902199043075e-172,23
« c est première fois qu une telle rencontre lieu » constate alain fabre membre bureau l association usagers transports aut d iledefrance,"[9.491829691225096367e-120, 7.781172663475560791e-482, 2.7849831776063065487e-426, 2.2921305366727309202e-439, 6.1657341739237006845e-357, 1.310867238194994626e-379, 8.69578268628430457e-371, 7.3822984804559382313e-323, 2.9481126331218065283e-418, 1.0997108525203407871e-444, 6.5679057342489207374e-469, 6.5330365954092698874e-523, 8.581632647508750956e-502, 1.9087374720305920279e-554, 7.4790867371697558216e-537, 1.3153716029717006752e-473, 1.8059957763943629459e-414, 4.476646571949825019e-531, 6.1050768663034242205e-515, 1.342689541733984364e-508, 4.17437946576082103e-412, 1.7236377405398288366e-534, 1.0104732966834664584e-494]",4.126882474445694e-121,23
réunion s est terminée salve d applaudissements raconte bernard baur secrétaire l association sadur regroupe usagers rer,"[2.196504366660595559e-603, 1.9828819958876220709e-461, 4.2068395141198911566e-520, 3.9363912888011533853e-515, 1.7537006979271643667e-466, 5.8654104256394961486e-185, 5.5258360886406278863e-345, 1.2607184379936297056e-378, 6.320283888930383917e-576, 4.1650275376222128858e-410, 1.6465991462114572439e-478, 2.1719751960952298879e-420, 7.0951170235307562435e-516, 2.6042117821465405344e-299, 4.219581827167657964e-525, 1.484735005684439017e-578, 5.787641945893264963e-572]",3.4502414268467623e-186,17
« voulu saluer fait d être directement destinataires informations alors apprenons habituellement presse »,"[1.9871289030126094422e-488, 2.0325060173156713773e-542, 2.2575379302846473203e-553, 2.972236522285746126e-490, 5.6192284885980356164e-394, 8.375829838727098076e-602, 8.0938994034206513283e-507, 6.2426676389862642685e-498, 2.4887476013628882332e-329, 5.2610333664115917497e-562, 6.962968879162230226e-490, 1.1609295734237712904e-545, 3.8973666295620195322e-359, 5.490661222839167902e-485]",0.0,14
écrans prises,"[6.730490953700280202e-525, 4.4938751729377335562e-362]",0.0,2
trains neufs contribuent meilleure régularité assure l exécutif régional,"[1.1913710649977870035e-280, 2.0514938377191068207e-483, 1.7815056669210337078e-316, 6.8519904709747618876e-612, 1.8249056950567985889e-400, 3.2100320251381834366e-595, 2.0968709529568498782e-308, 1.1529967570629120274e-500, 4.3340074058763581467e-588]",1.3237456277753188e-281,9
tombent moins souvent panne heureusement bénéficient comme franciliens tout neufs bombardier ceux ressemblent soucoupes volantes nuit d équipements secours,"[6.5733759327352459413e-568, 8.237362202105438719e-481, 6.5853994549628601193e-456, 2.8268381215538804327e-414, 2.8608877238134325335e-587, 8.544610565503879159e-496, 4.3241669413997657072e-509, 2.6723258735639273328e-311, 1.3330765511726237514e-579, 9.469540531493935395e-432, 7.7750266252273561386e-575, 3.9350256190629556477e-343, 2.1806738704296606815e-423, 2.7587073349811247907e-649, 1.8579765020446595995e-552, 4.7629407010439600944e-444, 2.576977792243315859e-572, 1.4341185515891720285e-559, 1.816814155625143192e-571]",1.406487301877e-312,19
« raison nombre portes emplacement largeur trains s arrêtent moins longtemps gares » complète,"[2.4435708752143222822e-457, 1.1528037537344982571e-613, 9.9995743261974956044e-527, 1.0002340339581804575e-604, 5.6461996388601002496e-536, 3.6828712875975997666e-690, 3.1106899956342540697e-428, 3.1977193565214365406e-659, 8.504442476544691014e-521, 2.2725850343103332234e-548, 6.269904486732281463e-388, 4.2103936659012881497e-602, 2.98862330042351104e-477, 1.0758498996851629593e-682]",0.0,14
beaudet,[7.040121239315420778e-535],0.0,1
mme pécresse promet trains « connectés sécurisés offrant tout confort moderne »,"[1.921335609358865395e-515, 8.509550598028424853e-286, 1.1158200802876973321e-660, 8.271721490699689613e-357, 1.6230822961023462681e-560, 1.4081650855721107523e-307, 9.4813979186509685284e-641, 3.684391774192645178e-502, 5.7440628245674406803e-398, 1.7176659380247989313e-359, 3.2323139111005174205e-613, 1.542380580385854643e-601]",7.091292165023687e-287,12
trouvera écrans d information prises électriques inévitables caméras sécurité,"[1.3750409671177098341e-483, 9.6234486402608314974e-273, 3.807563908608591493e-517, 1.2070929996115983786e-534, 1.5958057828011894872e-621, 2.6307953236556228085e-450, 2.8538680573039409552e-565, 4.9992785779087621053e-449, 4.4522579435575273148e-483]",1.0692720711400923e-273,9
revanche équipés toilettes « car sncf manque personnel l entretien » regrette,"[5.435002064797179365e-488, 2.2313008886742008798e-556, 5.055732376195245226e-459, 6.0395953819712298214e-600, 3.0864133767260339552e-408, 1.118541212877618141e-680, 1.9611308295430955478e-489, 5.0699309842941840523e-438, 2.029185833793163584e-225, 1.2341244902075629848e-441, 2.6750545629471109154e-307, 8.4350020884405367786e-507]",1.6909881948276363e-226,12
fabre l aut,"[9.3756864249529076155e-326, 6.751633183702881129e-552, 1.5936465794759286296e-546]",0.0,3
coût,[9.185120391989946801e-504],0.0,1
coût milliards d euros répartis durée d amortissement trains c estàdire vingtaine d années,"[3.2865546118047013185e-505, 4.7059778087647148857e-523, 3.490300928029745358e-563, 1.0483275687119075609e-488, 7.4938124870416387734e-336, 1.5306393453340931596e-619, 2.581643885289912892e-496, 2.4567897123128088508e-537, 2.2610997366156254766e-314, 6.415578805660240891e-504, 4.9392432112494854086e-472, 2.504254326968175138e-437, 2.3730625400850248465e-439, 6.3924258616445811896e-372]",1.61507124e-315,14
bus,[2.3357418918049252263e-387],0.0,1
plan « bus » vise habitants grande couronne « souvent contraints d utiliser voiture faute transports commun »,"[7.6407750759863286346e-418, 8.8783596243265608756e-427, 6.064678802229696014e-368, 5.852208734380710945e-383, 2.4108484181932650193e-448, 5.085096430721510131e-188, 2.5252091891979423807e-555, 1.1728307543375634303e-346, 1.902613255898100896e-390, 5.654682348263731755e-337, 1.7466239480555286985e-465, 8.3995695412044671355e-377, 6.3784322265016670328e-350, 8.8076806347476743295e-298, 1.9522807819975589714e-512, 3.1323702852778122617e-544, 5.3075187653047115515e-523, 6.7667215892373121056e-318]",2.8250535726230613e-189,18
plusieurs lignes restructurées dès fin cette année cergy val d oise versailles yvelines corbeilessonnes essonne,"[7.939632740650766537e-219, 8.645174095678395224e-425, 6.3752084656771672283e-480, 2.0607903229912249212e-473, 2.6671145143457416407e-614, 1.6301375022451654183e-407, 6.82301873232552539e-511, 7.399611464071870946e-456, 1.2877286272184469446e-503, 3.862035301049196091e-520, 1.9088753977918170796e-512, 1.3054634918949125298e-355, 1.4343676618682818989e-518, 4.4276814755370127467e-546, 3.404418371445094452e-413]",5.293088493767178e-220,15
réseau paris communes limitrophes doit également être refondu,"[1.5021768335534366758e-452, 3.0095090394589346915e-234, 2.0384337326237843261e-513, 4.6585349930873271483e-566, 7.031168595159971784e-391, 3.2531851433129410544e-430, 3.096124565436445924e-374, 9.173298658604871872e-547]",3.7618862993236685e-235,8
