clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
paris mars,"[9.848725087792459366e-156, 7.372113165655858436e-169]",4.924362543896598e-156,2
hall principal gare nord déplace sans difficulté,"[5.809298928602822436e-123, 1.2904690689215759797e-132, 2.0863165282470271526e-169, 1.2571755296081021419e-88, 6.580861768087188409e-102, 1.1495004337711378878e-168, 5.5756260390770414807e-178]",1.7959650422973828e-89,7
quelques voyageurs s apprêtent monter train lille bruxelles compiègne,"[3.816349956969972222e-105, 8.6900647433871413696e-159, 5.2206623110438228247e-146, 1.6381001006300744245e-131, 1.4108071594716748513e-195, 4.8559334572263580124e-174, 9.810226803052591866e-156, 1.7017751044837223258e-169, 3.7158782401385119273e-12]",4.128753600153902e-13,9
jour grève générale raisons cette grève ici l ambiance étrangement sereine,"[2.5071379850439324556e-185, 3.6488807566221673688e-158, 7.828982889575997602e-169, 3.1013236043649574805e-200, 7.452626473691277285e-176, 1.7531810892318306355e-176, 5.2034339837642394316e-196, 3.5685273391722855205e-207, 3.214896039477831117e-217, 4.7826280812105880953e-207, 2.598750592929393852e-203]",3.317164324273143e-159,11
oublierait presque situation particulière si gare n était remplie dizaines « gilets rouges » personnel sncf met service voyageurs lors grèves grands départs incidents exceptionnels,"[3.482033459600920386e-207, 2.4786007486581739348e-200, 3.152541070981201288e-189, 2.7926734089804853266e-201, 6.3732601564070954786e-209, 1.1444331694356488384e-205, 2.1698417429417176586e-200, 3.161128725521163328e-197, 2.2007385777537510156e-201, 9.663550053270128361e-203, 4.9800360287181951817e-200, 2.3413558059492644276e-205, 3.041077242896171653e-222, 6.4072900572391040055e-173, 3.365339331632143211e-149, 8.251625825730825807e-181, 3.3873071981754531004e-178, 1.5602603876464667763e-206, 3.7484938585519737207e-143, 4.142686325002049094e-162, 8.0635921405419683607e-115, 2.9546369900115292305e-95, 3.3738228698376391069e-211, 3.0024389576384728389e-136, 1.452842256118202276e-180]",1.1818547960046117e-96,25
dispositions,[2.0014881214459572699e-127],2.0014881214459573e-127,1
plupart cheminots volontaires cette mission fréquentent beaucoup quais gare travaillent habituellement comme cadres « bureaux »,"[7.6685774334238219807e-104, 4.4616061830138730672e-100, 4.0504742034304382863e-129, 8.0578122636341230536e-115, 4.9401736823188758183e-179, 6.4194176552643499314e-157, 8.8457147874324965395e-113, 4.3106568866528858693e-168, 4.570231634166375528e-168, 1.4517810364691177409e-188, 3.7288682546480713389e-184, 2.3917667539197733896e-168, 1.3664892601465836849e-196, 6.5551142316012363614e-140, 1.3879333491217114037e-152, 2.0785523679885339538e-192]",2.7889831504738174e-101,16
chacun d entre tient main liasse feuilles lesquelles inscrits horaires principales lignes,"[3.204617331163914747e-197, 2.9596583211271101853e-184, 5.7423989518237398002e-117, 1.05263695761144753803e-187, 2.091977887998198689e-198, 1.368725218666326383e-202, 7.5542369677688491843e-194, 7.339722476009324158e-199, 5.2481213658142233555e-210, 3.145295186585700719e-205, 1.3605443701380452462e-189, 8.8327607438974728733e-203]",4.785332459853116e-118,12
lorsqu un tgv arrive gare quelques passagers viennent s informer horaires retour,"[9.9457632723359179795e-207, 8.3962338289161506956e-206, 5.1022725410230689944e-194, 8.0686304352307924984e-157, 2.8480876951577413934e-158, 1.404289291643095299e-198, 1.0854431611593464982e-165, 2.7979223872932625527e-199, 3.8487862552269747301e-146, 2.1386308870124367008e-138, 8.688674509192496919e-167, 8.208458234167390781e-175]",1.782192437916916e-139,12
reste temps « gilets rouges » semblent plutôt,"[2.9327871089695546789e-204, 7.53291045699208726e-170, 6.85707430101097304e-173, 1.5584056032367561506e-197, 2.5497057490898328298e-187, 2.8973586788611595317e-161, 3.2722137288908285562e-47, 9.820088047508550557e-211]",4.090267161113536e-48,8
