clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
lituanie a fermé jeudi décembre second réacteur unique centrale nucléaire nordest vilnius non loin frontière biélorussie,"[6.1242411456318088066e-106, 1.0, 4.9534170002114436016e-104, 2.0719885212245993292e-117, 3.845345994943093893e-102, 3.6462299520741377034e-113, 1.8552750538603151799e-96, 3.429759918722383978e-113, 7.954921928751501993e-110, 5.2169587380238723568e-115, 4.0951667572969555345e-112, 3.437725864908865624e-99, 4.3139651600836957323e-116, 6.8117980386744385505e-108, 2.1468932879507709471e-123, 1.3082661658995694665e-120]",0.0625,16
pays balte jusquelà lun plus dépendants monde nucléaire respecte ainsi condition bruxelles imposée pouvoir adhérer lunion européenne ue,"[1.173439342643069652e-112, 1.5848706850667235173e-117, 1.2809345281328385856e-98, 1.46045577712309904335e-111, 8.558090367911008493e-111, 5.3091977667472230593e-97, 2.887256017221250765e-111, 4.181880347441227561e-119, 2.649076654591245897e-114, 1.3027995552182943385e-99, 6.100960366416149406e-111, 3.4708646458163391724e-114, 3.012418196723525511e-112, 2.6096698651820657583e-120, 4.436532702468240073e-120, 4.5188682698043528294e-115, 2.1987189428118736894e-103, 5.624375289937492859e-122]",3.027956341017682e-98,18
dépit nombreuses mises jour sécurité effectuées depuis restauration lindépendance cette centrale rmbk tort dêtre type celle tchernobyl sans enceinte confinement,"[4.679053157896922375e-121, 5.103352782033192186e-115, 1.5746854803728461906e-119, 1.3347245382810455192e-122, 4.0057767645353313648e-97, 6.105936143467539426e-112, 4.261207239210131912e-115, 1.2321527339746827116e-121, 4.3910630574476773024e-119, 1.4818535134113500352e-110, 1.1431024177198092481e-102, 1.2442454699557776379e-117, 5.059381293157312174e-119, 5.2003845703499070518e-107, 4.3577826055296175125e-121, 1.4237151625791205825e-91, 1.4797037056774745438e-105, 9.848771793489791413e-107, 9.725755135125339128e-108, 1.7662166684394310207e-112]",7.118595841836663e-93,20
fermeture centrale lune conditions préalables ladhésion lue lituaniens sétaient résignés certains alors qualifié diktat,"[6.5103321769417550515e-103, 9.6149971369706551614e-110, 2.2842387006531011303e-92, 3.977360056674233061e-113, 1.0721023632448024289e-90, 2.80911242202748513e-121, 1.6966146108182002034e-117, 9.4116261845814886937e-119, 2.7272953532612420496e-113, 9.114823489826193671e-112, 6.230361199274721456e-122, 1.3388456092900234424e-116, 5.603427843706216497e-116, 5.060397779098217322e-122]",7.821033930371318e-92,14
conformément calendrier premier réacteur fermé fin,"[2.1412274076448830057e-120, 4.161769850160688542e-94, 4.8366470939750316283e-111, 1.2865715703567842435e-113, 4.7115739639564584556e-100, 1.9496734564427413549e-112]",6.936290936224421e-95,6
depuis nombreux lituaniens sétaient battus tenter prolonger durée vie centrale,"[1.8352893922156033059e-108, 6.270896840107549949e-123, 4.6593054271281498834e-116, 5.9407587936824841014e-123, 1.4116288904217316601e-117, 3.6649776059266270958e-123, 4.7462445739386748424e-117, 2.316463158813699209e-108, 6.457656311693355224e-119, 1.3248631551760735937e-88]",1.3248631551760735e-89,10
référendum organisé sens,"[2.0877049754446202731e-38, 2.041567350614311226e-108, 3.277309749340565058e-113]",6.9590165848154e-39,3
faute participation suffisante navait validé écrasante majorité sétait exprimée faveur dun prolongement lexploitation,"[1.4869949898122688281e-99, 1.118347327609214672e-80, 4.2097813848576454995e-93, 3.8089214207905609324e-105, 9.219069702451412729e-112, 4.99638534929113188e-100, 2.8092549024701113035e-68, 4.3986837947561510706e-97, 2.897756795764337469e-120, 1.739944980370111944e-105, 4.8167742614629014557e-119, 3.7642832931140474396e-104, 5.3435544563434579715e-115]",2.1609653095932535e-69,13
finalement letat a choisi tenir engagements internationaux,"[3.7548075807137692394e-63, 1.679781102232508508e-113, 9.6997510459123314064e-119, 1.6819711730154411852e-110, 3.9062221973394917996e-117, 1.6874510247891646026e-104, 2.853172593890519968e-114]",5.3640108295910986e-64,7
eviter dépendance après avoir exportatrice délectricité lituanie durement frappée crise économique retrouve importatrice,"[1.0959277787438276123e-92, 4.2114873187645496153e-113, 1.1205271760253991472e-99, 8.631797713128007881e-121, 2.8679074316657175394e-120, 9.581835821013499731e-116, 6.78257485279424039e-108, 9.427411414456618713e-98, 9.383177972827875445e-98, 3.9305429194884310592e-114, 2.2596161432664699896e-116, 1.1563516080000349636e-104, 7.0325574142825670365e-115]",8.43035924143915e-94,13
