clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
rappelle mots daniel herrero fois prof guide l uereps nice,"[7.225185894063395055e-89, 2.1556160043268414981e-168, 3.313890786612580512e-144, 3.9368461240774592014e-54, 1.6078397407807787219e-115, 1.5596496816210250317e-93, 1.9026511741759666422e-147, 3.578608098503919095e-125, 5.0658451414590816822e-151, 8.726026110618013913e-112]",3.936846124077459e-55,10
ans déjà,"[6.4243658238341044606e-189, 1.0604574989392524426e-217]",3.2121829119170524e-189,2
rappelle capacité tirer meilleur chacun d entre groupe fort uni performant,"[4.6059845440650932485e-192, 4.650088041680520039e-248, 1.6886575531987535443e-243, 5.967591312840866337e-144, 5.2311594136112260248e-145, 3.919109804558571512e-223, 6.273974228892505961e-212, 2.2016307761956300618e-188, 3.3978248385140744637e-95, 2.0729295305991771858e-233, 2.0081534587648516198e-155]",3.0889316713764315e-96,11
rappelle mots tous éducateurs accompagné enfance années rugby celles m ont forgé,"[4.3154804553747410047e-121, 2.5696125921245275046e-153, 4.3700768683301259159e-215, 1.8873714583172085788e-258, 3.6282868262683749848e-226, 3.7291598788065225018e-108, 7.7163279075163221486e-222, 1.7378304398265997045e-108, 4.1807513569518019686e-201, 4.017052834384942807e-194, 7.280670908798843235e-210, 2.8876541040484115797e-206]",4.555825265527961e-109,12
rappelle qu il toujours question d être fort ensemble qu il souvent question partager victoire défaite partager joies partager ballon terrain comme partageait sandwichs bus,"[2.595691030571045184e-205, 3.4947827137543349107e-240, 1.2850777460389824542e-186, 5.5559060268554556395e-220, 9.377290026984476181e-208, 1.053329194339816939e-265, 5.294429851338999078e-174, 1.9499621581735468476e-290, 2.2178656075141271009e-203, 3.780111198639518954e-234, 1.3240559899843674699e-89, 1.7539966986748413421e-191, 1.6406864724399118271e-196, 2.138316458457795339e-127, 1.1969107867890268714e-175, 2.0748758314003707111e-193, 1.0198054476308987453e-148, 1.3278709783047818274e-130, 1.9796729386488020539e-198, 1.2978177328590081392e-263, 9.7859074946349758406e-203, 8.131464744155655037e-174, 6.732680223093566445e-255, 2.6926937771818032467e-241, 4.6684553575568098436e-178]",5.29622395993747e-91,25
éducation,[1.38546503740813767074e-250],1.3854650374081377e-250,1
qu aije mis pot commun cela fonctionne cette question continue d occuper chaque jour espace esprit,"[3.8674834280052765372e-198, 6.692949545899664209e-185, 6.3932673760619585854e-250, 1.510068095134144706e-214, 1.2069194071071925579e-271, 1.1877698964951345578e-258, 1.1481991724288467933e-243, 8.7773434953833767756e-274, 3.1769780112576129099e-286, 8.1093185109682111044e-283, 1.2290716026930111738e-266, 1.7489194127133296836e-283, 2.4720903054991983813e-277, 2.0067143559660220927e-213, 7.2187303709373026156e-246, 1.246822817701239519e-196]",4.183093466195324e-186,16
vient années rugby tout simplement,"[5.040260716261322989e-218, 1.7686954045569393249e-245, 4.0385063998369708448e-218, 5.6721104446488000218e-270, 5.515194435203337371e-217]",1.2846142293626334e-217,5
sais partage beaucoup ceux chance pratiquer sport hors commun,"[3.1784273802420883748e-226, 1.873231508103862231e-258, 4.842835506527626428e-263, 1.5272040119713975405e-214, 1.8449829215628577182e-224, 5.7514398967047734757e-204, 8.6126619183470917916e-193, 7.410228473146973737e-242, 1.1980813287213660868e-159]",1.3312014763570735e-160,9
etre performant individuellement groupe malheureusement semble professionnalisme considérablement modifié l essence sport quand dés l âge ans joueurs plus prometteurs nourrissent centres formation pensent avant tout leurs statistiques individuelles détriment l oeuvre collective formidable aventure humaine peut générer cette discipline,"[3.2585272258750663276e-237, 2.1095347217042745855e-274, 5.1184711119971556864e-242, 1.407547922483864262e-256, 2.1496481348599535918e-264, 1.3340156281010337567e-279, 9.46878171708802484e-266, 5.353922779348715976e-266, 2.338586718585121377e-265, 1.3192188599360016782e-264, 1.11769231937727927854e-222, 1.8390404154481511335e-137, 6.2124082995378485333e-215, 4.612533622730464999e-248, 1.2938855885413204584e-235, 1.6701710993999330204e-245, 5.8385368353740380387e-265, 1.3797570291582811174e-294, 1.9686130237756065301e-300, 1.2066066349787570147e-281, 1.1803841081331591312e-265, 2.1985655229914077943e-232, 4.1352169185775000425e-230, 2.379443981356915494e-255, 4.038680727985487559e-240, 3.2361208783720763416e-200, 5.859636950603639022e-264, 4.5963272474059180844e-232, 3.9781732436927385715e-214, 1.590156067338622698e-111, 4.6325589358343665795e-135, 3.1666384347184568309e-232, 9.716813179242510566e-183, 2.877354575879730877e-111, 1.0382885401266191538e-234, 9.314969702374187485e-235, 2.5642348557089599382e-180, 2.2640646682672524887e-199, 2.4338841627616210752e-218, 2.2506057966171044073e-276]",1.1168776608045883e-112,40
dérive individualiste n est jamais loin,"[7.2312684777479694183e-196, 1.0123052828509151213e-178, 8.737240769660615031e-258, 1.6679601783079096047e-269, 4.64435960095640833e-264, 1.0857628800456185409e-117]",1.809604800076031e-118,6
là,[5.324981241820371181e-255],5.324981241820371e-255,1
a gagné rugby comme a gagné l ensemble société,"[5.5339401057197660465e-224, 7.850992154175420885e-304, 4.2660032867981012642e-290, 1.4135937466534384368e-238, 2.9854502613575726362e-146, 3.8662769414006189904e-255, 2.8748197866546455493e-284, 2.3722737417268605808e-240, 7.047747582187924198e-147]",4.100250021751517e-147,9
« l égo » a écrit ainsi daniel herrero propos teddy thomas après défaite quinze france contre l afrique sud quand l ailier racing a mangé implacable trois contre,"[7.6745766198963322764e-103, 2.1723418255447427886e-125, 5.045324286328951304e-236, 1.8715132336194534544e-270, 3.4091785893587884538e-240, 2.7563861364045502396e-263, 8.7906394689882553113e-274, 5.5112698553586101354e-236, 2.8404606259002032514e-248, 4.4258769094583383664e-229, 2.4586266026341223871e-104, 8.320462248420883571e-264, 1.5203620033032461618e-304, 1.6530097783324308212e-144, 7.394001901629215371e-235, 1.0899694012663340721e-114, 6.86739269077867365e-97, 1.223233100912822429e-274, 5.766824359818231111e-265, 1.5135868075019623038e-303, 5.248796355759095868e-254, 2.0542718619133585974e-265, 2.3415125576681388914e-235, 3.1085901692671937075e-292, 2.2889613105180298678e-265, 3.8426406969247152968e-235, 8.433412562488376002e-229, 3.825497822313093329e-217, 6.708292494133171955e-222]",2.368069176282053e-98,29
choisissant ainsi solution individuelle celle supposée mettre valeur solution collective celle s imposait pourtant car offert coup sûr essai l équipe france,"[4.5304497060228773248e-213, 7.509619225147304844e-240, 1.5710689627908293948e-240, 5.210607473097818788e-224, 2.0421310776929448404e-205, 2.4576715141213218767e-258, 1.4666886923511490336e-269, 9.0097191035962659614e-294, 1.9428928276505597427e-214, 4.8485902919853603273e-258, 2.280398017790411831e-248, 3.7531300703399442276e-272, 3.3045424222946342978e-248, 8.5416990097639176344e-188, 3.659278743128697388e-207, 1.8308693907250429302e-272, 4.1672031141413700815e-158, 1.8031229425775160364e-122, 3.4537206614502224587e-236, 3.1464876450038048485e-214, 2.075062213184636648e-248, 4.327558463596814168e-152]",8.196013375352346e-124,22
